"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3768",434378,"Justin Verlander","3768","100.00","0.217","0.114","0.275","0.331","0.266","null","null","192","884","null","null","null","89.9","null","478","1856","1891","null","null","null","null","null","null","null","null","null"
"3617",448306,"James Shields","3617","100.00","0.239","0.144","0.294","0.383","0.297","null","null","208","869","null","null","null","88.0","null","421","1684","1895","null","null","null","null","null","null","null","null","null"
"3486",408241,"Jake Peavy","3486","100.00","0.234","0.153","0.273","0.387","0.293","null","null","191","816","null","null","null","87.4","null","369","1673","1788","null","null","null","null","null","null","null","null","null"
"3480",451596,"Yovani Gallardo","3480","100.00","0.243","0.150","0.296","0.392","0.307","null","null","185","762","null","null","null","88.9","null","299","1352","2098","null","null","null","null","null","null","null","null","null"
"3469",477132,"Clayton Kershaw","3469","100.00","0.210","0.114","0.271","0.323","0.259","null","null","170","810","null","null","null","89.4","null","413","1602","1829","null","null","null","null","null","null","null","null","null"
"3449",456501,"Johnny Cueto","3449","100.00","0.252","0.114","0.299","0.366","0.293","null","null","205","815","null","null","null","89.0","null","338","1621","1782","null","null","null","null","null","null","null","null","null"
"3442",450351,"C.J. Wilson","3442","100.00","0.239","0.123","0.283","0.361","0.306","null","null","181","758","null","null","null","88.7","null","297","1408","2015","null","null","null","null","null","null","null","null","null"
"3426",475416,"Justin Masterson","3426","100.00","0.269","0.119","0.312","0.388","0.326","null","null","212","788","null","null","null","90.6","null","308","1544","1844","null","null","null","null","null","null","null","null","null"
"3424",452657,"Jon Lester","3424","100.00","0.273","0.169","0.314","0.442","0.334","null","null","216","792","null","null","null","89.5","null","327","1530","1867","null","null","null","null","null","null","null","null","null"
"3422",433587,"Felix Hernandez","3422","100.00","0.241","0.092","0.308","0.333","0.281","null","null","209","868","null","null","null","89.8","null","397","1614","1783","null","null","null","null","null","null","null","null","null"
"3383",425844,"Zack Greinke","3383","100.00","0.249","0.117","0.310","0.366","0.291","null","null","200","803","null","null","null","87.8","null","322","1429","1935","null","null","null","null","null","null","null","null","null"
"3380",453178,"Ian Kennedy","3380","100.00","0.266","0.187","0.312","0.453","0.331","null","null","216","812","null","null","null","87.2","null","373","1647","1693","null","null","null","null","null","null","null","null","null"
"3360",285079,"R.A. Dickey","3360","100.00","0.226","0.135","0.280","0.362","0.278","null","null","192","849","null","null","null","78.4","null","441","1674","1647","null","null","null","null","null","null","null","null","null"
"3354",450306,"Jason Vargas","3354","100.00","0.245","0.176","0.255","0.421","0.309","null","null","201","820","null","null","null","85.2","null","302","1501","1826","null","null","null","null","null","null","null","null","null"
"3345",430912,"Matt Cain","3345","100.00","0.222","0.138","0.264","0.361","0.275","null","null","177","796","null","null","null","88.0","null","358","1591","1726","null","null","null","null","null","null","null","null","null"
"3334",456701,"Homer Bailey","3334","100.00","0.256","0.155","0.293","0.412","0.312","null","null","206","804","null","null","null","89.9","null","341","1594","1700","null","null","null","null","null","null","null","null","null"
"3332",456034,"David Price","3332","100.00","0.226","0.093","0.286","0.318","0.271","null","null","173","767","null","null","null","91.9","null","311","1458","1850","null","null","null","null","null","null","null","null","null"
