"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3941",434378,"Justin Verlander","3941","100.00","0.192","0.121","0.237","0.313","0.246","null","null","174","904","null","null","null","90.5","null","446","1842","2090","null","null","null","null","null","null","null","null","null"
"3775",429717,"Dan Haren","3775","100.00","0.235","0.130","0.276","0.365","0.271","null","null","211","899","null","null","null","87.0","null","402","1823","1920","null","null","null","null","null","null","null","null","null"
"3746",450308,"Jered Weaver","3746","100.00","0.212","0.124","0.252","0.336","0.263","null","null","182","857","null","null","null","84.6","null","372","1679","2047","null","null","null","null","null","null","null","null","null"
"3698",456034,"David Price","3698","100.00","0.231","0.140","0.284","0.371","0.290","null","null","193","836","null","null","null","92.0","null","343","1628","2034","null","null","null","null","null","null","null","null","null"
"3613",112020,"Chris Carpenter","3613","100.00","0.264","0.097","0.317","0.360","0.295","null","null","243","921","null","null","null","87.9","null","358","1688","1874","null","null","null","null","null","null","null","null","null"
"3608",433587,"Felix Hernandez","3608","100.00","0.248","0.108","0.308","0.356","0.293","null","null","218","880","null","null","null","90.6","null","362","1654","1934","null","null","null","null","null","null","null","null","null"
"3607",453311,"Tim Lincecum","3607","100.00","0.222","0.122","0.288","0.344","0.286","null","null","176","794","null","null","null","88.8","null","421","1585","1970","null","null","null","null","null","null","null","null","null"
"3606",282332,"CC Sabathia","3606","100.00","0.254","0.106","0.321","0.361","0.293","null","null","230","904","null","null","null","89.9","null","428","1715","1857","null","null","null","null","null","null","null","null","null"
"3592",450351,"C.J. Wilson","3592","100.00","0.232","0.118","0.289","0.350","0.290","null","null","191","823","null","null","null","87.7","null","321","1503","2070","null","null","null","null","null","null","null","null","null"
"3576",448306,"James Shields","3576","100.00","0.217","0.133","0.260","0.350","0.274","null","null","195","897","null","null","null","86.1","null","399","1672","1883","null","null","null","null","null","null","null","null","null"
"3516",133225,"Ryan Dempster","3516","100.00","0.271","0.175","0.331","0.445","0.340","null","null","211","779","null","null","null","88.2","null","362","1616","1871","null","null","null","null","null","null","null","null","null"
"3488",430912,"Matt Cain","3488","100.00","0.217","0.102","0.265","0.319","0.264","null","null","177","816","null","null","null","88.3","null","362","1632","1811","null","null","null","null","null","null","null","null","null"
"3469",477132,"Clayton Kershaw","3469","100.00","0.207","0.091","0.274","0.298","0.246","null","null","174","842","null","null","null","90.0","null","417","1666","1782","null","null","null","null","null","null","null","null","null"
"3469",136880,"Roy Halladay","3469","100.00","0.239","0.075","0.305","0.313","0.255","null","null","208","872","null","null","null","88.0","null","414","1710","1712","null","null","null","null","null","null","null","null","null"
"3462",451596,"Yovani Gallardo","3462","100.00","0.245","0.145","0.296","0.390","0.297","null","null","193","788","null","null","null","89.7","null","344","1485","1955","null","null","null","null","null","null","null","null","null"
"3460",475416,"Justin Masterson","3460","100.00","0.257","0.092","0.304","0.349","0.298","null","null","211","822","null","null","null","91.8","null","291","1603","1799","null","null","null","null","null","null","null","null","null"
"3453",429722,"Ervin Santana","3453","100.00","0.241","0.148","0.274","0.389","0.304","null","null","207","858","null","null","null","89.0","null","322","1549","1864","null","null","null","null","null","null","null","null","null"
"3436",543339,"Daniel Hudson","3436","100.00","0.255","0.139","0.298","0.394","0.302","null","null","217","851","null","null","null","90.8","null","374","1641","1762","null","null","null","null","null","null","null","null","null"
"3424",453178,"Ian Kennedy","3424","100.00","0.227","0.133","0.274","0.361","0.279","null","null","186","818","null","null","null","87.6","null","329","1648","1759","null","null","null","null","null","null","null","null","null"
