"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3301",407890,"Colby Lewis","3301","100.00","0.227","0.141","0.277","0.369","0.290","null","null","174","765","null","null","null","87.2","null","340","1486","1793","null","null","null","null","null","null","null","null","null"
"3298",453286,"Max Scherzer","3298","100.00","0.244","0.139","0.300","0.383","0.308","null","null","174","712","null","null","null","90.4","null","341","1493","1782","null","null","null","null","null","null","null","null","null"
"3281",490063,"Matt Garza","3281","100.00","0.248","0.171","0.273","0.420","0.317","null","null","193","777","null","null","null","90.9","null","265","1512","1748","null","null","null","null","null","null","null","null","null"
"3272",462102,"Tommy Hanson","3272","100.00","0.239","0.108","0.290","0.347","0.287","null","null","182","761","null","null","null","88.5","null","306","1464","1754","null","null","null","null","null","null","null","null","null"
"3258",276520,"Bronson Arroyo","3258","100.00","0.234","0.155","0.241","0.389","0.295","null","null","188","804","null","null","null","82.3","null","244","1476","1737","null","null","null","null","null","null","null","null","null"
"3254",279782,"Jon Garland","3254","100.00","0.240","0.131","0.268","0.371","0.308","null","null","176","734","null","null","null","87.4","null","247","1400","1811","null","null","null","null","null","null","null","null","null"
"3250",217096,"Barry Zito","3250","100.00","0.250","0.147","0.286","0.396","0.316","null","null","184","737","null","null","null","80.9","null","285","1417","1790","null","null","null","null","null","null","null","null","null"
"3247",115817,"Livan Hernandez","3247","100.00","0.270","0.124","0.294","0.393","0.310","null","null","216","801","null","null","null","81.4","null","165","1291","1921","null","null","null","null","null","null","null","null","null"
"3241",460069,"Ricky Romero","3241","100.00","0.242","0.112","0.293","0.354","0.300","null","null","189","780","null","null","null","87.2","null","311","1414","1793","null","null","null","null","null","null","null","null","null"
"3235",456043,"Jonathan Sanchez","3235","100.00","0.204","0.139","0.255","0.343","0.291","null","null","142","696","null","null","null","87.7","null","344","1370","1835","null","null","null","null","null","null","null","null","null"
"3234",434671,"Anibal Sanchez","3234","100.00","0.257","0.099","0.312","0.356","0.301","null","null","192","748","null","null","null","87.6","null","325","1485","1708","null","null","null","null","null","null","null","null","null"
"3212",453385,"Clayton Richard","3212","100.00","0.267","0.114","0.315","0.381","0.319","null","null","206","771","null","null","null","88.5","null","271","1414","1754","null","null","null","null","null","null","null","null","null"
"3210",119154,"Kevin Millwood","3210","100.00","0.292","0.169","0.320","0.461","0.353","null","null","223","763","null","null","null","86.1","null","213","1365","1816","null","null","null","null","null","null","null","null","null"
"3205",434643,"Wandy Rodriguez","3205","100.00","0.250","0.131","0.307","0.381","0.308","null","null","183","733","null","null","null","84.4","null","314","1361","1809","null","null","null","null","null","null","null","null","null"
"3203",451596,"Yovani Gallardo","3203","100.00","0.251","0.118","0.331","0.370","0.305","null","null","178","709","null","null","null","89.2","null","298","1287","1888","null","null","null","null","null","null","null","null","null"
"3195",400061,"Roy Oswalt","3195","100.00","0.213","0.133","0.258","0.346","0.267","null","null","162","761","null","null","null","87.5","null","336","1487","1683","null","null","null","null","null","null","null","null","null"
"3170",453178,"Ian Kennedy","3170","100.00","0.228","0.164","0.261","0.392","0.302","null","null","163","714","null","null","null","85.7","null","299","1371","1768","null","null","null","null","null","null","null","null","null"
"3166",117955,"Derek Lowe","3166","100.00","0.273","0.124","0.313","0.398","0.319","null","null","204","747","null","null","null","86.9","null","280","1355","1748","null","null","null","null","null","null","null","null","null"
"3139",134321,"Carl Pavano","3139","100.00","0.266","0.151","0.283","0.417","0.310","null","null","227","853","null","null","null","87.4","null","262","1501","1614","null","null","null","null","null","null","null","null","null"
"3134",451532,"Chad Billingsley","3134","100.00","0.244","0.108","0.304","0.353","0.295","null","null","176","720","null","null","null","88.2","null","293","1376","1709","null","null","null","null","null","null","null","null","null"
"3127",434678,"Kyle Davies","3127","100.00","0.283","0.155","0.317","0.439","0.347","null","null","206","727","null","null","null","88.9","null","284","1366","1739","null","null","null","null","null","null","null","null","null"
"3118",150359,"A.J. Burnett","3118","100.00","0.285","0.172","0.323","0.457","0.357","null","null","204","715","null","null","null","90.6","null","269","1358","1722","null","null","null","null","null","null","null","null","null"
"3117",456501,"Johnny Cueto","3117","100.00","0.257","0.151","0.295","0.408","0.316","null","null","181","703","null","null","null","90.3","null","313","1430","1649","null","null","null","null","null","null","null","null","null"
"3090",475416,"Justin Masterson","3090","100.00","0.278","0.107","0.327","0.385","0.328","null","null","197","709","null","null","null","89.9","null","290","1388","1659","null","null","null","null","null","null","null","null","null"
"3087",150438,"Rodrigo Lopez","3087","100.00","0.286","0.214","0.293","0.500","0.351","null","null","227","794","null","null","null","85.6","null","170","1416","1645","null","null","null","null","null","null","null","null","null"
"3086",448694,"Randy Wells","3086","100.00","0.273","0.140","0.315","0.413","0.326","null","null","209","766","null","null","null","87.5","null","328","1427","1601","null","null","null","null","null","null","null","null","null"
"3068",430904,"Paul Maholm","3068","100.00","0.303","0.149","0.332","0.452","0.351","null","null","228","753","null","null","null","84.4","null","197","1302","1729","null","null","null","null","null","null","null","null","null"
"3043",451788,"Shaun Marcum","3043","100.00","0.242","0.161","0.280","0.403","0.301","null","null","181","747","null","null","null","84.2","null","353","1409","1609","null","null","null","null","null","null","null","null","null"
"3038",502239,"Trevor Cahill","3038","100.00","0.220","0.112","0.237","0.332","0.276","null","null","155","705","null","null","null","87.1","null","200","1217","1795","null","null","null","null","null","null","null","null","null"
"3028",493133,"Hiroki Kuroda","3028","100.00","0.243","0.108","0.287","0.351","0.281","null","null","180","741","null","null","null","89.3","null","350","1421","1542","null","null","null","null","null","null","null","null","null"
"3021",450306,"Jason Vargas","3021","100.00","0.251","0.148","0.274","0.399","0.304","null","null","187","744","null","null","null","84.3","null","253","1402","1594","null","null","null","null","null","null","null","null","null"
"3021",434538,"Francisco Liriano","3021","100.00","0.252","0.103","0.335","0.355","0.298","null","null","184","730","null","null","null","90.2","null","395","1405","1593","null","null","null","null","null","null","null","null","null"
"3020",425856,"Gavin Floyd","3020","100.00","0.274","0.114","0.327","0.388","0.318","null","null","199","727","null","null","null","88.3","null","296","1305","1673","null","null","null","null","null","null","null","null","null"
"3007",451085,"Brian Matusz","3007","100.00","0.255","0.140","0.295","0.395","0.314","null","null","173","678","null","null","null","86.6","null","266","1401","1577","null","null","null","null","null","null","null","null","null"
"3006",461833,"Phil Hughes","3006","100.00","0.244","0.156","0.275","0.400","0.307","null","null","162","665","null","null","null","89.4","null","292","1482","1508","null","null","null","null","null","null","null","null","null"
"3004",276371,"Johan Santana","3004","100.00","0.240","0.115","0.276","0.356","0.284","null","null","179","745","null","null","null","86.2","null","300","1500","1471","null","null","null","null","null","null","null","null","null"
"2988",435178,"Josh Johnson","2988","100.00","0.229","0.096","0.301","0.325","0.268","null","null","155","677","null","null","null","92.7","null","377","1413","1538","null","null","null","null","null","null","null","null","null"
"2981",424324,"Cliff Lee","2981","100.00","0.240","0.123","0.290","0.363","0.266","null","null","195","813","null","null","null","89.2","null","272","1514","1449","null","null","null","null","null","null","null","null","null"
"2965",502009,"Mat Latos","2965","100.00","0.217","0.113","0.275","0.330","0.267","null","null","150","691","null","null","null","90.0","null","351","1382","1554","null","null","null","null","null","null","null","null","null"
"2954",433657,"Dave Bush","2954","100.00","0.286","0.195","0.299","0.481","0.352","null","null","198","693","null","null","null","81.5","null","201","1299","1617","null","null","null","null","null","null","null","null","null"
"2947",477003,"Jonathon Niese","2947","100.00","0.280","0.157","0.330","0.437","0.339","null","null","192","686","null","null","null","86.5","null","261","1321","1591","null","null","null","null","null","null","null","null","null"
"2908",150404,"Ted Lilly","2908","100.00","0.229","0.192","0.254","0.421","0.296","null","null","165","720","null","null","null","83.2","null","276","1401","1476","null","null","null","null","null","null","null","null","null"
"2893",429780,"Chris Narveson","2893","100.00","0.266","0.165","0.306","0.431","0.329","null","null","172","647","null","null","null","83.8","null","254","1250","1618","null","null","null","null","null","null","null","null","null"
"2849",460284,"Dallas Braden","2849","100.00","0.249","0.124","0.273","0.373","0.292","null","null","180","723","null","null","null","81.9","null","233","1322","1508","null","null","null","null","null","null","null","null","null"
"2837",434628,"Jason Hammel","2837","100.00","0.287","0.133","0.335","0.420","0.327","null","null","201","700","null","null","null","89.4","null","224","1296","1518","null","null","null","null","null","null","null","null","null"
"2828",458690,"Chris Volstad","2828","100.00","0.277","0.138","0.302","0.415","0.329","null","null","187","675","null","null","null","87.8","null","179","1201","1578","null","null","null","null","null","null","null","null","null"
"2828",452718,"Kyle Kendrick","2828","100.00","0.283","0.195","0.288","0.477","0.343","null","null","199","704","null","null","null","88.4","null","155","1219","1577","null","null","null","null","null","null","null","null","null"
"2810",453329,"Clay Buchholz","2810","100.00","0.226","0.086","0.263","0.312","0.278","null","null","142","629","null","null","null","90.3","null","276","1284","1514","null","null","null","null","null","null","null","null","null"
"2789",451584,"Wade Davis","2789","100.00","0.255","0.178","0.274","0.433","0.328","null","null","165","646","null","null","null","90.0","null","194","1259","1511","null","null","null","null","null","null","null","null","null"
"2747",430599,"Joe Blanton","2747","100.00","0.291","0.173","0.324","0.464","0.342","null","null","206","707","null","null","null","86.6","null","264","1303","1401","null","null","null","null","null","null","null","null","null"
"2738",425827,"Jeremy Bonderman","2738","100.00","0.277","0.172","0.298","0.448","0.344","null","null","187","676","null","null","null","87.4","null","219","1233","1480","null","null","null","null","null","null","null","null","null"
"2737",431148,"Scott Kazmir","2737","100.00","0.271","0.203","0.283","0.474","0.364","null","null","158","582","null","null","null","87.9","null","224","1151","1558","null","null","null","null","null","null","null","null","null"
"2726",502032,"Bud Norris","2726","100.00","0.256","0.156","0.318","0.412","0.333","null","null","151","590","null","null","null","91.2","null","320","1213","1479","null","null","null","null","null","null","null","null","null"
"2711",446399,"Brett Cecil","2711","100.00","0.264","0.152","0.293","0.416","0.320","null","null","175","664","null","null","null","86.8","null","265","1273","1419","null","null","null","null","null","null","null","null","null"
"2704",134320,"Javier Vazquez","2704","100.00","0.257","0.228","0.270","0.485","0.351","null","null","155","602","null","null","null","84.1","null","252","1223","1449","null","null","null","null","null","null","null","null","null"
"2701",450729,"Doug Fister","2701","100.00","0.277","0.108","0.303","0.385","0.307","null","null","187","676","null","null","null","86.2","null","133","1137","1547","null","null","null","null","null","null","null","null","null"
"2677",435044,"Scott Baker","2677","100.00","0.277","0.191","0.323","0.468","0.342","null","null","186","671","null","null","null","88.7","null","297","1386","1279","null","null","null","null","null","null","null","null","null"
"2638",435043,"Zach Duke","2638","100.00","0.322","0.190","0.343","0.511","0.376","null","null","212","659","null","null","null","83.6","null","195","1178","1425","null","null","null","null","null","null","null","null","null"
"2636",435298,"Jeff Niemann","2636","100.00","0.242","0.170","0.266","0.412","0.315","null","null","159","658","null","null","null","88.6","null","234","1179","1413","null","null","null","null","null","null","null","null","null"
"2631",452676,"Mitch Talbot","2631","100.00","0.276","0.131","0.302","0.407","0.337","null","null","169","612","null","null","null","88.7","null","170","1121","1483","null","null","null","null","null","null","null","null","null"
