"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3692",434378,"Justin Verlander","3692","100.00","0.253","0.123","0.317","0.376","0.306","null","null","212","838","null","null","null","89.4","null","427","1771","1890","null","null","null","null","null","null","null","null","null"
"3657",448306,"James Shields","3657","100.00","0.251","0.118","0.301","0.369","0.299","null","null","215","857","null","null","null","88.2","null","387","1671","1954","null","null","null","null","null","null","null","null","null"
"3651",450351,"C.J. Wilson","3651","100.00","0.246","0.115","0.302","0.361","0.305","null","null","200","814","null","null","null","87.5","null","335","1496","2128","null","null","null","null","null","null","null","null","null"
"3559",452657,"Jon Lester","3559","100.00","0.253","0.137","0.301","0.389","0.310","null","null","209","827","null","null","null","89.7","null","327","1667","1876","null","null","null","null","null","null","null","null","null"
"3533",425794,"Adam Wainwright","3533","100.00","0.248","0.108","0.311","0.356","0.276","null","null","223","900","null","null","null","86.0","null","361","1684","1821","null","null","null","null","null","null","null","null","null"
"3505",285079,"R.A. Dickey","3505","100.00","0.242","0.179","0.265","0.422","0.316","null","null","207","854","null","null","null","76.8","null","363","1648","1834","null","null","null","null","null","null","null","null","null"
"3477",501957,"Chris Tillman","3477","100.00","0.241","0.186","0.271","0.427","0.316","null","null","184","764","null","null","null","88.0","null","324","1599","1860","null","null","null","null","null","null","null","null","null"
"3462",502188,"Jeff Samardzija","3462","100.00","0.255","0.156","0.316","0.411","0.323","null","null","210","822","null","null","null","90.9","null","409","1616","1817","null","null","null","null","null","null","null","null","null"
"3452",506433,"Yu Darvish","3452","100.00","0.194","0.140","0.264","0.334","0.274","null","null","145","748","null","null","null","87.5","null","472","1499","1929","null","null","null","null","null","null","null","null","null"
"3428",477132,"Clayton Kershaw","3428","100.00","0.195","0.082","0.255","0.277","0.232","null","null","164","840","null","null","null","88.7","null","429","1660","1745","null","null","null","null","null","null","null","null","null"
"3423",430935,"Cole Hamels","3423","100.00","0.246","0.157","0.301","0.404","0.301","null","null","205","832","null","null","null","88.3","null","449","1756","1623","null","null","null","null","null","null","null","null","null"
"3388",453286,"Max Scherzer","3388","100.00","0.198","0.131","0.260","0.329","0.257","null","null","152","766","null","null","null","89.6","null","444","1591","1783","null","null","null","null","null","null","null","null","null"
"3371",425386,"Jeremy Guthrie","3371","100.00","0.285","0.163","0.296","0.448","0.340","null","null","236","828","null","null","null","88.2","null","200","1509","1842","null","null","null","null","null","null","null","null","null"
"3351",450729,"Doug Fister","3351","100.00","0.281","0.100","0.333","0.381","0.315","null","null","229","814","null","null","null","84.5","null","285","1433","1884","null","null","null","null","null","null","null","null","null"
"3351",458681,"Lance Lynn","3351","100.00","0.252","0.123","0.321","0.375","0.308","null","null","189","750","null","null","null","90.7","null","372","1568","1753","null","null","null","null","null","null","null","null","null"
"3336",500779,"Jose Quintana","3336","100.00","0.247","0.148","0.284","0.395","0.304","null","null","188","762","null","null","null","88.5","null","320","1519","1799","null","null","null","null","null","null","null","null","null"
"3336",282332,"CC Sabathia","3336","100.00","0.272","0.173","0.312","0.445","0.331","null","null","224","823","null","null","null","87.5","null","339","1540","1769","null","null","null","null","null","null","null","null","null"
"3315",461829,"Gio Gonzalez","3315","100.00","0.231","0.133","0.290","0.363","0.295","null","null","169","732","null","null","null","89.2","null","341","1482","1807","null","null","null","null","null","null","null","null","null"
"3299",279824,"Mark Buehrle","3299","100.00","0.276","0.154","0.306","0.430","0.328","null","null","223","807","null","null","null","81.8","null","252","1439","1831","null","null","null","null","null","null","null","null","null"
"3293",456701,"Homer Bailey","3293","100.00","0.234","0.135","0.289","0.369","0.289","null","null","181","773","null","null","null","91.0","null","389","1585","1673","null","null","null","null","null","null","null","null","null"
"3281",453311,"Tim Lincecum","3281","100.00","0.248","0.141","0.306","0.389","0.311","null","null","184","743","null","null","null","86.4","null","394","1450","1787","null","null","null","null","null","null","null","null","null"
"3281",502706,"Derek Holland","3281","100.00","0.259","0.140","0.311","0.399","0.309","null","null","210","810","null","null","null","89.8","null","359","1594","1673","null","null","null","null","null","null","null","null","null"
"3253",424324,"Cliff Lee","3253","100.00","0.232","0.136","0.289","0.368","0.273","null","null","193","832","null","null","null","88.0","null","330","1597","1641","null","null","null","null","null","null","null","null","null"
"3248",519242,"Chris Sale","3248","100.00","0.230","0.124","0.290","0.354","0.281","null","null","184","800","null","null","null","87.4","null","382","1460","1758","null","null","null","null","null","null","null","null","null"
"3239",502009,"Mat Latos","3239","100.00","0.247","0.117","0.305","0.363","0.293","null","null","197","798","null","null","null","89.5","null","363","1534","1661","null","null","null","null","null","null","null","null","null"
"3239",489119,"Wade Miley","3239","100.00","0.261","0.143","0.299","0.404","0.318","null","null","201","769","null","null","null","88.9","null","274","1423","1778","null","null","null","null","null","null","null","null","null"
"3234",445590,"Eric Stults","3234","100.00","0.274","0.146","0.306","0.421","0.313","null","null","219","799","null","null","null","81.3","null","250","1491","1713","null","null","null","null","null","null","null","null","null"
"3212",456167,"A.J. Griffin","3212","100.00","0.226","0.182","0.244","0.408","0.297","null","null","171","757","null","null","null","84.1","null","294","1420","1773","null","null","null","null","null","null","null","null","null"
"3205",518516,"Madison Bumgarner","3205","100.00","0.203","0.104","0.257","0.307","0.257","null","null","146","720","null","null","null","87.7","null","390","1511","1650","null","null","null","null","null","null","null","null","null"
"3202",493133,"Hiroki Kuroda","3202","100.00","0.249","0.143","0.283","0.392","0.297","null","null","191","767","null","null","null","88.3","null","338","1478","1697","null","null","null","null","null","null","null","null","null"
"3199",429722,"Ervin Santana","3199","100.00","0.238","0.142","0.268","0.380","0.293","null","null","190","797","null","null","null","89.1","null","334","1469","1692","null","null","null","null","null","null","null","null","null"
"3183",445060,"Ricky Nolasco","3183","100.00","0.255","0.133","0.304","0.388","0.301","null","null","195","765","null","null","null","84.7","null","359","1448","1703","null","null","null","null","null","null","null","null","null"
"3175",433587,"Felix Hernandez","3175","100.00","0.242","0.115","0.315","0.357","0.282","null","null","185","764","null","null","null","89.5","null","368","1465","1689","null","null","null","null","null","null","null","null","null"
"3164",434622,"Ubaldo Jimenez","3164","100.00","0.239","0.128","0.304","0.367","0.304","null","null","163","682","null","null","null","88.3","null","304","1337","1810","null","null","null","null","null","null","null","null","null"
"3126",501985,"Mike Minor","3126","100.00","0.232","0.150","0.274","0.382","0.284","null","null","177","762","null","null","null","87.7","null","329","1447","1655","null","null","null","null","null","null","null","null","null"
"3110",434578,"Joe Saunders","3110","100.00","0.311","0.196","0.335","0.507","0.374","null","null","232","746","null","null","null","86.0","null","208","1304","1773","null","null","null","null","null","null","null","null","null"
"3102",547874,"Hisashi Iwakuma","3102","100.00","0.220","0.151","0.253","0.371","0.273","null","null","179","813","null","null","null","86.4","null","353","1525","1548","null","null","null","null","null","null","null","null","null"
"3090",475243,"Travis Wood","3090","100.00","0.222","0.129","0.251","0.351","0.283","null","null","163","735","null","null","null","86.3","null","275","1478","1581","null","null","null","null","null","null","null","null","null"
"3089",453178,"Ian Kennedy","3089","100.00","0.259","0.185","0.299","0.444","0.338","null","null","180","696","null","null","null","87.0","null","327","1441","1625","null","null","null","null","null","null","null","null","null"
"3083",519455,"Jordan Zimmermann","3083","100.00","0.239","0.137","0.275","0.375","0.283","null","null","192","805","null","null","null","90.7","null","294","1532","1526","null","null","null","null","null","null","null","null","null"
"3082",571578,"Patrick Corbin","3082","100.00","0.240","0.136","0.287","0.376","0.294","null","null","189","788","null","null","null","88.9","null","352","1495","1562","null","null","null","null","null","null","null","null","null"
"3070",547943,"Hyun-Jin Ryu","3070","100.00","0.252","0.109","0.300","0.361","0.290","null","null","182","723","null","null","null","85.4","null","272","1363","1680","null","null","null","null","null","null","null","null","null"
"3050",450665,"Kris Medlen","3050","100.00","0.258","0.141","0.303","0.398","0.306","null","null","194","753","null","null","null","85.8","null","357","1471","1551","null","null","null","null","null","null","null","null","null"
"3048",451596,"Yovani Gallardo","3048","100.00","0.261","0.134","0.303","0.395","0.315","null","null","180","689","null","null","null","87.4","null","229","1248","1780","null","null","null","null","null","null","null","null","null"
"3023",150359,"A.J. Burnett","3023","100.00","0.231","0.104","0.310","0.335","0.285","null","null","165","714","null","null","null","89.2","null","341","1331","1641","null","null","null","null","null","null","null","null","null"
"3019",475416,"Justin Masterson","3019","100.00","0.222","0.090","0.288","0.312","0.284","null","null","156","703","null","null","null","89.9","null","302","1299","1693","null","null","null","null","null","null","null","null","null"
"3017",502032,"Bud Norris","3017","100.00","0.283","0.146","0.337","0.429","0.340","null","null","196","692","null","null","null","89.5","null","306","1378","1627","null","null","null","null","null","null","null","null","null"
"3014",450172,"Edinson Volquez","3014","100.00","0.282","0.167","0.330","0.449","0.348","null","null","193","684","null","null","null","87.8","null","279","1282","1709","null","null","null","null","null","null","null","null","null"
"3013",346798,"Kyle Lohse","3013","100.00","0.259","0.147","0.280","0.406","0.303","null","null","196","757","null","null","null","85.6","null","240","1359","1633","null","null","null","null","null","null","null","null","null"
"2998",444857,"Scott Feldman","2998","100.00","0.234","0.138","0.261","0.372","0.293","null","null","159","680","null","null","null","85.6","null","229","1269","1701","null","null","null","null","null","null","null","null","null"
"2997",133225,"Ryan Dempster","2997","100.00","0.256","0.179","0.297","0.435","0.339","null","null","170","664","null","null","null","86.7","null","317","1314","1659","null","null","null","null","null","null","null","null","null"
"2993",519105,"Jarrod Parker","2993","100.00","0.242","0.147","0.263","0.389","0.303","null","null","178","736","null","null","null","88.6","null","304","1372","1587","null","null","null","null","null","null","null","null","null"
"2987",503449,"Wily Peralta","2987","100.00","0.264","0.120","0.298","0.384","0.318","null","null","187","708","null","null","null","92.0","null","282","1346","1612","null","null","null","null","null","null","null","null","null"
"2985",518716,"Dillon Gee","2985","100.00","0.268","0.155","0.301","0.423","0.319","null","null","208","775","null","null","null","86.0","null","306","1459","1501","null","null","null","null","null","null","null","null","null"
"2974",434671,"Anibal Sanchez","2974","100.00","0.229","0.101","0.309","0.330","0.274","null","null","156","682","null","null","null","89.4","null","402","1387","1573","null","null","null","null","null","null","null","null","null"
"2968",571946,"Shelby Miller","2968","100.00","0.234","0.137","0.284","0.371","0.294","null","null","152","650","null","null","null","90.9","null","313","1402","1547","null","null","null","null","null","null","null","null","null"
"2962",468504,"Jhoulys Chacin","2962","100.00","0.253","0.121","0.289","0.375","0.302","null","null","188","742","null","null","null","86.8","null","242","1309","1618","null","null","null","null","null","null","null","null","null"
"2932",429719,"Edwin Jackson","2932","100.00","0.281","0.155","0.327","0.436","0.336","null","null","197","702","null","null","null","90.6","null","286","1350","1539","null","null","null","null","null","null","null","null","null"
"2922",430912,"Matt Cain","2922","100.00","0.228","0.160","0.263","0.389","0.295","null","null","158","692","null","null","null","88.4","null","279","1366","1528","null","null","null","null","null","null","null","null","null"
"2921",429781,"Kevin Correia","2921","100.00","0.297","0.165","0.316","0.462","0.344","null","null","218","734","null","null","null","87.9","null","194","1339","1560","null","null","null","null","null","null","null","null","null"
"2911",502190,"Mike Leake","2911","100.00","0.263","0.144","0.289","0.407","0.312","null","null","193","734","null","null","null","87.0","null","219","1310","1568","null","null","null","null","null","null","null","null","null"
"2896",120485,"Andy Pettitte","2896","100.00","0.275","0.136","0.310","0.411","0.319","null","null","198","721","null","null","null","85.3","null","264","1355","1524","null","null","null","null","null","null","null","null","null"
"2887",476451,"Jeremy Hellickson","2887","100.00","0.274","0.176","0.308","0.450","0.335","null","null","185","676","null","null","null","85.6","null","306","1323","1540","null","null","null","null","null","null","null","null","null"
"2885",527054,"Julio Teheran","2885","100.00","0.246","0.152","0.293","0.398","0.303","null","null","173","703","null","null","null","87.4","null","341","1424","1412","null","null","null","null","null","null","null","null","null"
"2874",452718,"Kyle Kendrick","2874","100.00","0.285","0.135","0.312","0.420","0.324","null","null","207","727","null","null","null","87.5","null","202","1331","1511","null","null","null","null","null","null","null","null","null"
"2873",276520,"Bronson Arroyo","2873","100.00","0.258","0.184","0.268","0.442","0.315","null","null","199","771","null","null","null","80.8","null","193","1254","1586","null","null","null","null","null","null","null","null","null"
"2873",407793,"John Lackey","2873","100.00","0.247","0.167","0.282","0.413","0.304","null","null","179","726","null","null","null","89.0","null","308","1402","1458","null","null","null","null","null","null","null","null","null"
"2868",504379,"Juan Nicasio","2868","100.00","0.268","0.177","0.307","0.445","0.340","null","null","168","627","null","null","null","90.1","null","234","1280","1543","null","null","null","null","null","null","null","null","null"
"2860",449173,"Lucas Harrell","2860","100.00","0.289","0.164","0.309","0.453","0.365","null","null","174","602","null","null","null","90.2","null","161","1110","1729","null","null","null","null","null","null","null","null","null"
"2851",544931,"Stephen Strasburg","2851","100.00","0.207","0.100","0.266","0.307","0.265","null","null","136","657","null","null","null","91.2","null","319","1278","1550","null","null","null","null","null","null","null","null","null"
"2845",467094,"Felix Doubront","2845","100.00","0.261","0.130","0.312","0.391","0.322","null","null","161","616","null","null","null","87.3","null","242","1235","1598","null","null","null","null","null","null","null","null","null"
"2836",519144,"Rick Porcello","2836","100.00","0.270","0.124","0.317","0.395","0.311","null","null","185","684","null","null","null","87.7","null","268","1281","1524","null","null","null","null","null","null","null","null","null"
"2816",425844,"Zack Greinke","2816","100.00","0.234","0.122","0.284","0.355","0.282","null","null","152","650","null","null","null","88.0","null","322","1317","1474","null","null","null","null","null","null","null","null","null"
"2778",429717,"Dan Haren","2778","100.00","0.268","0.186","0.307","0.454","0.324","null","null","179","667","null","null","null","86.8","null","278","1333","1428","null","null","null","null","null","null","null","null","null"
"2777",112526,"Bartolo Colon","2777","100.00","0.264","0.105","0.295","0.369","0.288","null","null","193","731","null","null","null","89.5","null","197","1351","1415","null","null","null","null","null","null","null","null","null"
"2774",407822,"Jorge De La Rosa","2774","100.00","0.269","0.114","0.310","0.384","0.316","null","null","170","631","null","null","null","87.2","null","277","1265","1470","null","null","null","null","null","null","null","null","null"
"2742",431148,"Scott Kazmir","2742","100.00","0.262","0.157","0.326","0.418","0.321","null","null","162","619","null","null","null","89.5","null","304","1323","1407","null","null","null","null","null","null","null","null","null"
"2727",460059,"Mike Pelfrey","2727","100.00","0.300","0.131","0.338","0.431","0.346","null","null","184","613","null","null","null","90.3","null","165","1204","1508","null","null","null","null","null","null","null","null","null"
"2716",502046,"Jeff Locke","2716","100.00","0.242","0.108","0.283","0.350","0.306","null","null","146","603","null","null","null","87.3","null","242","1116","1569","null","null","null","null","null","null","null","null","null"
"2713",456068,"Miguel Gonzalez","2713","100.00","0.243","0.170","0.261","0.413","0.309","null","null","157","647","null","null","null","88.5","null","256","1315","1377","null","null","null","null","null","null","null","null","null"
"2707",456034,"David Price","2707","100.00","0.252","0.127","0.299","0.379","0.289","null","null","178","707","null","null","null","89.9","null","233","1277","1414","null","null","null","null","null","null","null","null","null"
"2697",502327,"Hector Santiago","2697","100.00","0.243","0.153","0.291","0.396","0.328","null","null","137","563","null","null","null","87.9","null","259","1126","1539","null","null","null","null","null","null","null","null","null"
"2697",518774,"Matt Harvey","2697","100.00","0.209","0.073","0.283","0.282","0.236","null","null","135","646","null","null","null","92.7","null","373","1346","1326","null","null","null","null","null","null","null","null","null"
"2687",488768,"Andrew Cashner","2687","100.00","0.233","0.117","0.273","0.351","0.281","null","null","151","647","null","null","null","90.9","null","247","1230","1428","null","null","null","null","null","null","null","null","null"
"2679",407853,"Erik Bedard","2679","100.00","0.260","0.166","0.309","0.425","0.339","null","null","149","574","null","null","null","85.3","null","250","1162","1500","null","null","null","null","null","null","null","null","null"
"2639",425532,"Jerome Williams","2639","100.00","0.272","0.170","0.293","0.441","0.336","null","null","181","666","null","null","null","89.7","null","262","1251","1361","null","null","null","null","null","null","null","null","null"
"2622",519043,"Matt Moore","2622","100.00","0.216","0.127","0.263","0.343","0.293","null","null","119","551","null","null","null","89.1","null","278","1137","1473","null","null","null","null","null","null","null","null","null"
"2612",605228,"Jose Fernandez","2612","100.00","0.182","0.083","0.242","0.265","0.238","null","null","111","611","null","null","null","90.2","null","281","1189","1391","null","null","null","null","null","null","null","null","null"
"2598",543548,"Tommy Milone","2598","100.00","0.258","0.179","0.284","0.437","0.319","null","null","160","620","null","null","null","84.3","null","244","1149","1423","null","null","null","null","null","null","null","null","null"
"2550",461833,"Phil Hughes","2550","100.00","0.293","0.200","0.327","0.492","0.355","null","null","170","581","null","null","null","88.1","null","246","1238","1290","null","null","null","null","null","null","null","null","null"
"2506",572971,"Dallas Keuchel","2506","100.00","0.297","0.161","0.342","0.458","0.354","null","null","184","620","null","null","null","85.5","null","246","1085","1395","null","null","null","null","null","null","null","null","null"
"2498",430904,"Paul Maholm","2498","100.00","0.280","0.151","0.315","0.431","0.335","null","null","169","603","null","null","null","83.1","null","183","1101","1357","null","null","null","null","null","null","null","null","null"
"2496",434538,"Francisco Liriano","2496","100.00","0.224","0.090","0.292","0.314","0.276","null","null","134","599","null","null","null","89.9","null","346","1125","1346","null","null","null","null","null","null","null","null","null"
"2470",451584,"Wade Davis","2470","100.00","0.307","0.140","0.362","0.447","0.361","null","null","169","550","null","null","null","89.5","null","207","1064","1386","null","null","null","null","null","null","null","null","null"
"2465",573185,"Dan Straily","2465","100.00","0.233","0.125","0.269","0.358","0.296","null","null","132","567","null","null","null","87.8","null","290","1155","1291","null","null","null","null","null","null","null","null","null"
"2445",421685,"Aaron Harang","2445","100.00","0.267","0.209","0.289","0.476","0.341","null","null","153","573","null","null","null","86.5","null","209","1172","1254","null","null","null","null","null","null","null","null","null"
"2445",543475,"Jordan Lyles","2445","100.00","0.285","0.166","0.314","0.451","0.350","null","null","165","579","null","null","null","88.7","null","188","1090","1336","null","null","null","null","null","null","null","null","null"
"2425",490063,"Matt Garza","2425","100.00","0.253","0.153","0.295","0.406","0.308","null","null","150","594","null","null","null","89.8","null","262","1149","1243","null","null","null","null","null","null","null","null","null"
"2396",450308,"Jered Weaver","2396","100.00","0.237","0.145","0.268","0.382","0.294","null","null","139","586","null","null","null","82.7","null","254","1085","1294","null","null","null","null","null","null","null","null","null"
"2394",433584,"Roberto Hernandez","2394","100.00","0.281","0.180","0.310","0.461","0.344","null","null","164","584","null","null","null","88.6","null","207","1086","1255","null","null","null","null","null","null","null","null","null"
"2386",450306,"Jason Vargas","2386","100.00","0.276","0.150","0.313","0.426","0.331","null","null","162","587","null","null","null","84.4","null","219","1036","1331","null","null","null","null","null","null","null","null","null"
"2372",502239,"Trevor Cahill","2372","100.00","0.261","0.143","0.295","0.404","0.324","null","null","143","547","null","null","null","87.2","null","200","970","1369","null","null","null","null","null","null","null","null","null"
"2368",408241,"Jake Peavy","2368","100.00","0.237","0.173","0.269","0.411","0.301","null","null","130","548","null","null","null","88.0","null","221","1138","1220","null","null","null","null","null","null","null","null","null"
