"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FT","2008-09-13","90.3","null","null","Elmer Dessens",425508,113296,"field_out","hit_into_play",,,,,"4","Ryan Church flies out to left fielder Omar Infante.","R","L","R","NYM","ATL","X","7","fly_ball",1,0,2008,"-1.3390800000000000","1.21494333333333333333","-0.3930","2.0560","null","502517.00","408314.00",2,8,"Bot","64.26","120.48",,,"null",,"null",,,,,,,"3.1100","1.5230","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",69,"2"
"CU","2008-09-13","76.0","null","null","Elmer Dessens",425508,113296,"null","ball",,,,,"11","null","R","L","R","NYM","ATL","B","null","null",0,0,2008,"0.27024333333333333333","-0.12393333333333333333","-0.4300","4.0740","null","502517.00","408314.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.1100","1.5230","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",69,"1"
"FT","2008-09-13","90.0","null","null","Elmer Dessens",408314,113296,"single","hit_into_play_no_out",,,,,"5","Jose Reyes singles on a sharp ground ball to first baseman Casey Kotchman, deflected by pitcher Elmer Dessens.    Daniel Murphy to 2nd.","R","L","R","NYM","ATL","X","1","ground_ball",1,2,2008,"-1.03152166666666666667","1.20763333333333333333","0.2550","2.4380","null","null","502517.00",2,8,"Bot","139.56","175.70",,,"null",,"null",,,,,,,"2.8990","1.4100","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",68,"4"
"CH","2008-09-13","83.4","null","null","Elmer Dessens",408314,113296,"null","swinging_strike",,,,,"14","null","R","L","R","NYM","ATL","S","null","null",1,1,2008,"-0.93104333333333333333","0.67916333333333333333","0.2830","0.8950","null","null","502517.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"2.8990","1.4100","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"3"
"FT","2008-09-13","89.1","null","null","Elmer Dessens",408314,113296,"null","ball",,,,,"12","null","R","L","R","NYM","ATL","B","null","null",0,1,2008,"-1.2546058333333333","1.02904000000000000000","0.3430","3.5630","null","null","502517.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"2.8990","1.4100","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"2"
"FF","2008-09-13","90.5","null","null","Elmer Dessens",408314,113296,"null","called_strike",,,,,"11","null","R","L","R","NYM","ATL","S","null","null",0,0,2008,"-0.46386083333333333333","1.4623366666666667","-1.1160","2.7090","null","null","502517.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"2.8990","1.4100","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"1"
"CH","2008-09-13","81.7","null","null","Elmer Dessens",502517,113296,"single","hit_into_play_no_out",,,,,"2","Daniel Murphy singles on a sharp ground ball to right fielder Jeff Francoeur.","R","L","R","NYM","ATL","X","null","ground_ball",1,1,2008,"-0.13069583333333333333","0.52909333333333333333","0.1060","2.9540","null","null","null",2,8,"Bot","200.80","91.37",,,"null",,"null",,,,,,,"2.9940","1.3160","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",67,"3"
"CH","2008-09-13","82.0","null","null","Elmer Dessens",502517,113296,"null","ball",,,,,"11","null","R","L","R","NYM","ATL","B","null","null",0,1,2008,"-0.78088250000000000000","0.47763666666666666667","-1.2540","3.2050","null","null","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"2.9940","1.3160","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"2"
"FF","2008-09-13","91.2","null","null","Elmer Dessens",502517,113296,"null","called_strike",,,,,"4","null","R","L","R","NYM","ATL","S","null","null",0,0,2008,"-0.64644750000000000000","1.3364900000000000","-0.3890","2.3720","null","null","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.4940","1.7190","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"1"
"FF","2008-09-13","88.3","null","null","Elmer Dessens",236155,113296,"strikeout","swinging_strike",,,,,"11","Robinson Cancel strikes out swinging.","R","R","R","NYM","ATL","S","null","null",0,2,2008,"-0.51270833333333333333","1.4943000000000000","-0.1970","4.0760","null","null","null",1,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.1870","1.6530","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",66,"5"
"CU","2008-09-13","73.7","null","null","Elmer Dessens",236155,113296,"null","foul",,,,,"12","null","R","R","R","NYM","ATL","S","null","null",0,2,2008,"0.38074166666666666667","-0.15374666666666666667","0.8930","2.5120","null","null","null",1,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.1870","1.6530","null","null","null","null","null","null",235952,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"4"
