"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FT","2013-09-28","94.4","null","null","Glen Perkins",449107,450282,"field_out","hit_into_play",,,,,"1","Mike Aviles flies out to center fielder Alex Presley.","R","R","L","MIN","CLE","X","8","fly_ball",1,1,2013,"1.5066000000000000","1.26783333333333333333","-0.3500","3.0000","null","null","null",2,9,"Top","128.51","65.26",,,"null",,"null",,,,,,,"3.3800","1.5200","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",68,"3"
"FT","2013-09-28","93.7","null","null","Glen Perkins",449107,450282,"null","foul",,,,,"2","null","R","R","L","MIN","CLE","S","null","null",1,0,2013,"1.3034166666666667","1.4455666666666667","-0.2100","2.9400","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3800","1.5200","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"2"
"FF","2013-09-28","95.5","null","null","Glen Perkins",449107,450282,"null","ball",,,,,"13","null","R","R","L","MIN","CLE","B","null","null",0,0,2013,"1.3994416666666667","1.7379666666666667","-0.7100","1.2700","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.0900","1.4500","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"1"
"FT","2013-09-28","94.3","null","null","Glen Perkins",543228,450282,"field_out","hit_into_play",,,,,"4","Yan Gomes lines out to shortstop Pedro Florimon.","R","R","L","MIN","CLE","X","6","line_drive",2,0,2013,"1.3563000000000000","1.13166666666666666667","-0.3800","2.2700","null","null","null",1,9,"Top","110.44","156.63",,,"null",,"null",,,,,,,"3.1600","1.4300","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",67,"3"
"FT","2013-09-28","95.7","null","null","Glen Perkins",543228,450282,"null","ball",,,,,"11","null","R","R","L","MIN","CLE","B","null","null",1,0,2013,"1.5010333333333333","1.3882333333333333","-2.2700","2.2900","null","null","null",1,9,"Top","null","null",,,"null",,"null",,,,,,,"2.9900","1.4800","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"2"
"FF","2013-09-28","95.4","null","null","Glen Perkins",543228,450282,"null","ball",,,,,"11","null","R","R","L","MIN","CLE","B","null","null",0,0,2013,"1.6207166666666667","1.8583666666666667","-2.6200","2.8800","null","null","null",1,9,"Top","null","null",,,"null",,"null",,,,,,,"2.9900","1.3500","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"1"
"FF","2013-09-28","95.8","null","null","Glen Perkins",430605,450282,"strikeout","swinging_strike",,,,,"2","Ryan Raburn strikes out swinging.","R","R","L","MIN","CLE","S","null","null",1,2,2013,"1.3604750000000000","1.6075333333333333","0.1800","3.2100","null","null","null",0,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3100","1.5000","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",66,"5"
"FF","2013-09-28","95.1","null","null","Glen Perkins",430605,450282,"null","foul",,,,,"2","null","R","R","L","MIN","CLE","S","null","null",1,2,2013,"1.3409916666666667","1.5774333333333333","0.2300","2.9400","null","null","null",0,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3100","1.5000","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"4"
"FF","2013-09-28","95.0","null","null","Glen Perkins",430605,450282,"null","swinging_strike",,,,,"1","null","R","R","L","MIN","CLE","S","null","null",1,1,2013,"1.3966583333333333","1.5473333333333333","-0.8000","3.1200","null","null","null",0,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3100","1.5000","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"3"
"FT","2013-09-28","92.8","null","null","Glen Perkins",430605,450282,"null","foul",,,,,"6","null","R","R","L","MIN","CLE","S","null","null",1,0,2013,"1.3215083333333333","1.4484333333333333","0.2800","2.6700","null","null","null",0,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3100","1.5000","null","null","null","null","null","null",349147,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"2"
