"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"IN","2009-09-30","73.3","null","null","Brian Moehler",429667,119215,"intent_walk","intent_ball",,,,,"11","Brian Moehler intentionally walks Ryan Howard.","R","L","R","PHI","HOU","B","null","null",3,0,2009,"-0.98615333333333333333","1.09640666666666666667","-6.4400","5.3400","425664.00","null","null",1,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.7110","1.8250","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","0.70",1,0,0,"null",46,"4"
"IN","2009-09-30","72.0","null","null","Brian Moehler",429667,119215,"null","intent_ball",,,,,"11","null","R","L","R","PHI","HOU","B","null","null",2,0,2009,"-0.51493500000000000000","1.08264666666666666667","-6.2790","4.2650","425664.00","null","null",1,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.6460","1.8540","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",46,"3"
"IN","2009-09-30","68.2","null","null","Brian Moehler",429667,119215,"null","intent_ball",,,,,"11","null","R","L","R","PHI","HOU","B","null","null",1,0,2009,"-0.80022666666666666667","1.16721333333333333333","-5.5710","4.1030","425664.00","null","null",1,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.6150","1.8220","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",46,"2"
"null","2009-09-30","null","null","null","Brian Moehler",429667,119215,"null","intent_ball",,,,,"null","null","R","L","R","PHI","HOU","B","null","null",0,0,2009,"null","null","null","null","425664.00","null","null",1,5,"Bot","null","null",,,"null",,"null",,,,,,,"null","null","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",46,"1"
"FT","2009-09-30","88.4","null","null","Brian Moehler",400284,119215,"field_out","hit_into_play",,,,,"13","Chase Utley lines out to shortstop Miguel Tejada.","R","L","R","PHI","HOU","X","6","line_drive",0,0,2009,"-1.11474333333333333333","0.46115333333333333333","-1.5850","2.5960","425664.00","null","null",0,5,"Bot","114.46","160.64",,,"null",,"null",,,,,,,"3.9600","1.8200","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",45,"1"
"CU","2009-09-30","79.2","null","null","Brian Moehler",425664,119215,"triple","hit_into_play_score",,,,,"8","Shane Victorino triples (13) on a line drive to right fielder Hunter Pence.   Jimmy Rollins scores.","R","L","R","PHI","HOU","X","null","line_drive",0,2,2009,"0.82941500000000000000","-0.21179666666666666667","-0.2550","1.6960","276519.00","null","null",0,5,"Bot","218.88","106.43",,,"null",,"null",,,,,,,"3.8100","1.6800","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","1.60",1,1,2,"null",44,"4"
"FF","2009-09-30","87.8","null","null","Brian Moehler",425664,119215,"null","foul",,,,,"2","null","R","L","R","PHI","HOU","S","null","null",0,2,2009,"-0.75277083333333333333","1.5722733333333333","-0.0580","3.7410","276519.00","null","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.8100","1.6800","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",44,"3"
"FT","2009-09-30","86.1","null","null","Brian Moehler",425664,119215,"null","foul",,,,,"2","null","R","L","R","PHI","HOU","S","null","null",0,1,2009,"-1.3425591666666667","2.0141700000000000","0.2080","3.4240","276519.00","null","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.8100","1.6800","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",44,"2"
"CU","2009-09-30","76.3","null","null","Brian Moehler",425664,119215,"null","called_strike",,,,,"7","null","R","L","R","PHI","HOU","S","null","null",0,0,2009,"0.35123833333333333333","-0.50735000000000000000","-0.4400","1.7550","276519.00","null","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.3970","1.6660","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",44,"1"
"CU","2009-09-30","76.5","null","null","Brian Moehler",276519,119215,"triple","hit_into_play_no_out",,,,,"8","Jimmy Rollins triples (5) on a line drive to right fielder Hunter Pence.","R","L","R","PHI","HOU","X","null","line_drive",1,2,2009,"0.57334833333333333333","-0.82798666666666666667","-0.1870","2.2120","null","null","null",0,5,"Bot","171.69","68.27",,,"null",,"null",,,,,,,"3.6300","1.6300","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","1.60",1,1,2,"null",43,"4"
"CU","2009-09-30","78.3","null","null","Brian Moehler",276519,119215,"null","foul",,,,,"8","null","R","L","R","PHI","HOU","S","null","null",1,1,2009,"0.40871416666666666667","0.23282333333333333333","-0.0220","1.8980","null","null","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.6300","1.6300","null","null","null","null","null","null",246556,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",43,"3"
