"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"CH","2017-08-06","71.1","2.9963","4.4383","Alex Claudio",596146,592222,"strikeout","called_strike",,,,,"7","Max Kepler called out on strikes.  ","R","L","L","MIN","TEX","S","null","null",0,2,2017,"1.3538","0.2101","-0.4497","1.7606","null","null","null",2,8,"Bot","null","null",,,455139,,"170806_212913",,,,,,,"3.3526","1.5073","null","null","null","71.7230","2103","6.6030",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"53.8941","0.000","0.000","0.00",1,0,0,"null",67,"3"
"SI","2017-08-06","88.4","3.1081","4.3631","Alex Claudio",596146,592222,"null","called_strike",,,,,"13","null","R","L","L","MIN","TEX","S","null","null",0,1,2017,"1.0300","-0.1127","-0.8775","1.9780","null","null","null",2,8,"Bot","null","null",,,455139,,"170806_212854",,,,,,,"3.4706","1.7112","null","null","null","87.6140","2083","5.6260",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.8709","0.000","0.000","null","null","null","null","null",67,"2"
"SI","2017-08-06","86.8","3.4200","4.2186","Alex Claudio",596146,592222,"null","foul",,,,,"6","null","R","L","L","MIN","TEX","S","null","null",0,0,2017,"1.0288","-0.0807","0.3674","2.3979","null","null","null",2,8,"Bot","null","null",,,455139,,"170806_212830",,,,,,,"3.2668","1.3778","null","null","null","86.4910","1965","6.2470",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.2502","0.000","0.000","null","null","null","null","null",67,"1"
"SL","2017-08-06","77.2","3.1129","4.7607","Alex Claudio",543257,592222,"field_out","hit_into_play",,,,,"4","Robbie Grossman flies out to center fielder Carlos Gomez.  ","R","R","L","MIN","TEX","X","8","fly_ball",2,2,2017,"-0.4107","0.8802","-0.4252","2.1479","null","null","null",1,8,"Bot","113.85","67.45",,,455139,,"170806_212802",,,,,,,"3.1662","1.3476","312","88.5","35.7290","76.9070","2241","5.9850",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.5124","0.021","0.031","0.00",1,0,0,3,66,"6"
"CH","2017-08-06","70.8","3.0717","4.5430","Alex Claudio",543257,592222,"null","foul",,,,,"14","null","R","R","L","MIN","TEX","S","null","null",2,2,2017,"1.5092","0.1890","0.8477","1.9541","null","null","null",1,8,"Bot","null","null",,,455139,,"170806_212728",,,,,,,"3.1662","1.3476","78","53.9","15.3520","69.9160","2167","6.1060",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.3916","0.000","0.000","null","null","null","null",1,66,"5"
"SI","2017-08-06","87.1","3.1635","4.3404","Alex Claudio",543257,592222,"null","called_strike",,,,,"12","null","R","R","L","MIN","TEX","S","null","null",2,1,2017,"1.6317","0.1691","1.2390","2.7673","null","null","null",1,8,"Bot","null","null",,,455139,,"170806_212705",,,,,,,"3.5517","1.5829","null","null","null","85.6670","2106","5.7020",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.7954","0.000","0.000","null","null","null","null","null",66,"4"
"CH","2017-08-06","71.2","3.2260","4.4018","Alex Claudio",543257,592222,"null","ball",,,,,"14","null","R","R","L","MIN","TEX","B","null","null",1,1,2017,"1.3194","0.1490","1.3897","2.2628","null","null","null",1,8,"Bot","null","null",,,455139,,"170806_212641",,,,,,,"3.5424","1.5516","null","null","null","70.8330","2225","6.1650",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.3323","0.000","0.000","null","null","null","null","null",66,"3"
"CH","2017-08-06","71.2","3.3258","4.3495","Alex Claudio",543257,592222,"null","ball",,,,,"14","null","R","R","L","MIN","TEX","B","null","null",0,1,2017,"1.2186","-0.1301","1.6388","2.4881","null","null","null",1,8,"Bot","null","null",,,455139,,"170806_212620",,,,,,,"3.5102","1.5408","null","null","null","71.0030","2237","6.1810",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.3163","0.000","0.000","null","null","null","null","null",66,"2"
"CH","2017-08-06","72.4","3.0897","4.7068","Alex Claudio",543257,592222,"null","called_strike",,,,,"5","null","R","R","L","MIN","TEX","S","null","null",0,0,2017,"1.1906","-0.0667","0.2748","2.4157","null","null","null",1,8,"Bot","null","null",,,455139,,"170806_212604",,,,,,,"3.6382","1.5408","null","null","null","71.7900","2210","6.0410",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.4560","0.000","0.000","null","null","null","null","null",66,"1"
"SL","2017-08-06","77.2","2.9928","4.6548","Alex Claudio",592696,592222,"field_out","hit_into_play",,,,,"13","Eddie Rosario grounds out, second baseman Rougned Odor to first baseman Mike Napoli.  ","R","L","L","MIN","TEX","X","4","ground_ball",0,2,2017,"-0.2901","0.4700","-0.9027","1.1581","null","null","null",0,8,"Bot","148.35","161.87",,,455139,,"170806_212529",,,,,,,"2.9952","1.2872","2","63.1","-35.5060","76.4860","null","5.7530",491766,592222,455139,435063,596059,608336,462101,608577,460576,425783,"54.7442","0.049","0.045","0.00",1,0,0,2,65,"3"
