"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"KN","2011-06-11","61.3","null","null","Mike McCoy",136770,453454,"field_out","hit_into_play",,,,,"7","J.  D.   Drew grounds out, second baseman Jayson Nix to first baseman Adam Lind.","R","L","R","TOR","BOS","X","4","ground_ball",1,2,2011,"0.77319166666666666667","-0.00210000000000000000","-0.6830","2.2450","null","null","null",2,9,"Top","146.59","152.61",,,"null",,"null",,,,,,,"3.4600","1.7100","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",87,"4"
"FC","2011-06-11","85.5","null","null","Mike McCoy",136770,453454,"null","ball",,,,,"12","null","R","L","R","TOR","BOS","B","null","null",0,2,2011,"-0.42503333333333333333","1.17180000000000000000","1.6650","2.7790","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3900","1.6600","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",87,"3"
"KN","2011-06-11","65.3","null","null","Mike McCoy",136770,453454,"null","swinging_strike",,,,,"14","null","R","L","R","TOR","BOS","S","null","null",0,1,2011,"0.84138333333333333333","0.37056666666666666667","0.0450","1.2350","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4600","1.7100","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",87,"2"
"CH","2011-06-11","75.4","null","null","Mike McCoy",136770,453454,"null","swinging_strike",,,,,"13","null","R","L","R","TOR","BOS","S","null","null",0,0,2011,"-1.5759416666666667","0.45943333333333333333","-0.9590","1.8550","null","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4600","1.7100","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",87,"1"
"CH","2011-06-11","83.4","null","null","Mike McCoy",340192,453454,"field_out","hit_into_play",,,,,"2","Marco Scutaro flies out to left fielder Corey Patterson.","R","R","R","TOR","BOS","X","7","fly_ball",1,2,2011,"-0.46260833333333333333","1.4742333333333333","-0.2410","2.7600","null","null","null",1,9,"Top","91.37","93.37",,,"null",,"null",,,,,,,"3.2200","1.6400","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",86,"4"
"KN","2011-06-11","73.3","null","null","Mike McCoy",340192,453454,"null","called_strike",,,,,"14","null","R","R","R","TOR","BOS","S","null","null",1,1,2011,"-0.55445833333333333333","1.3681666666666667","1.2400","2.4330","null","null","null",1,9,"Top","null","null",,,"null",,"null",,,,,,,"3.2900","1.6000","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",86,"3"
"KN","2011-06-11","60.7","null","null","Mike McCoy",340192,453454,"null","ball",,,,,"11","null","R","R","R","TOR","BOS","B","null","null",0,1,2011,"0.81911666666666666667","0.02226666666666666667","-1.2870","2.5830","null","null","null",1,9,"Top","null","null",,,"null",,"null",,,,,,,"3.2200","1.5200","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",86,"2"
"KN","2011-06-11","73.5","null","null","Mike McCoy",340192,453454,"null","called_strike",,,,,"6","null","R","R","R","TOR","BOS","S","null","null",0,0,2011,"-0.38606666666666666667","1.5502000000000000","0.6880","2.6740","null","null","null",1,9,"Top","null","null",,,"null",,"null",,,,,,,"3.2600","1.5200","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",86,"1"
"KN","2011-06-11","60.3","null","null","Mike McCoy",408307,453454,"field_out","hit_into_play",,,,,"13","Carl Crawford pops out to shortstop Yunel Escobar.","R","L","R","TOR","BOS","X","6","popup",1,2,2011,"1.0390000000000000","-0.00496666666666666667","-1.5290","2.0350","null","null","null",0,9,"Top","96.39","157.63",,,"null",,"null",,,,,,,"3.5300","1.6900","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",85,"4"
"KN","2011-06-11","73.6","null","null","Mike McCoy",408307,453454,"null","foul",,,,,"5","null","R","L","R","TOR","BOS","S","null","null",1,1,2011,"-0.54193333333333333333","1.7136000000000000","-0.1090","2.5600","null","null","null",0,9,"Top","null","null",,,"null",,"null",,,,,,,"3.5300","1.6900","null","null","null","null","null","null",287869,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",85,"3"
