"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"SL","2010-10-03","82.9","null","null","Jonathan Papelbon",121347,449097,"field_out","hit_into_play",,,,,"9","Alex Rodriguez grounds out, third baseman Bill Hall to first baseman Lars Anderson.","R","R","R","BOS","NYY","X","5","ground_ball",2,2,2010,"-0.04510833333333333333","-0.68866666666666666667","0.4090","1.8630","116539.00","null","407893.00",2,9,"Top","110.44","166.67",,,"null",,"null",,,,,,,"3.4700","1.7300","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",75,"5"
"FF","2010-10-03","96.7","null","null","Jonathan Papelbon",121347,449097,"null","ball",,,,,"12","null","R","R","R","BOS","NYY","B","null","null",1,2,2010,"-1.05545833333333333333","1.3122666666666667","1.0290","3.2040","116539.00","null","407893.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.6900","1.9400","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",75,"4"
"FF","2010-10-03","95.3","null","null","Jonathan Papelbon",121347,449097,"null","swinging_strike",,,,,"5","null","R","R","R","BOS","NYY","S","null","null",1,1,2010,"-0.91211666666666666667","1.2864666666666667","-0.1830","2.6990","116539.00","null","407893.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4700","1.7300","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",75,"3"
"FF","2010-10-03","94.8","null","null","Jonathan Papelbon",121347,449097,"null","ball",,,,,"12","null","R","R","R","BOS","NYY","B","null","null",0,1,2010,"-1.07355000000000000000","1.17466666666666666667","0.4440","4.0690","116539.00","null","407893.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.6600","1.9100","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",75,"2"
"FF","2010-10-03","95.6","null","null","Jonathan Papelbon",121347,449097,"null","swinging_strike",,,,,"4","null","R","R","R","BOS","NYY","S","null","null",0,0,2010,"-1.2238500000000000","1.4126000000000000","-0.3460","2.7090","116539.00","null","407893.00",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4700","1.7300","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",75,"1"
"SL","2010-10-03","82.0","null","null","Jonathan Papelbon",407893,449097,"walk","ball",,,,,"14","Mark Teixeira walks.","R","L","R","BOS","NYY","B","null","null",3,2,2010,"-0.03536666666666666667","-0.30740000000000000000","0.8170","1.3770","116539.00","null","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.2800","1.6200","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","0.70",1,0,0,"null",74,"6"
"FS","2010-10-03","88.4","null","null","Jonathan Papelbon",407893,449097,"null","ball",,,,,"13","null","R","L","R","BOS","NYY","B","null","null",2,2,2010,"-0.95108333333333333333","-0.43640000000000000000","-0.7750","0.6720","null","116539.00","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3700","1.6800","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",74,"5"
"FF","2010-10-03","95.0","null","null","Jonathan Papelbon",407893,449097,"null","called_strike",,,,,"13","null","R","L","R","BOS","NYY","S","null","null",2,1,2010,"-1.14730833333333333333","1.22626666666666666667","-1.3160","2.4080","null","116539.00","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.4820","1.7770","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",74,"4"
"SL","2010-10-03","81.2","null","null","Jonathan Papelbon",407893,449097,"null","ball",,,,,"13","null","R","L","R","BOS","NYY","B","null","null",1,1,2010,"0.19982500000000000000","-0.40200000000000000000","-1.0100","2.1530","null","116539.00","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3400","1.7100","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",74,"3"
"SL","2010-10-03","80.3","null","null","Jonathan Papelbon",407893,449097,"null","swinging_strike",,,,,"8","null","R","L","R","BOS","NYY","S","null","null",1,0,2010,"-0.04789166666666666667","-0.31313333333333333333","0.2670","1.7390","null","116539.00","null",2,9,"Top","null","null",,,"null",,"null",,,,,,,"3.3700","1.7000","null","null","null","null","null","null",266229,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",74,"2"
