"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"SI","2009-09-29","91.0","null","null","Trevor Cahill",407849,502239,"double","hit_into_play_score",,,,,"5","Bill Hall doubles (20) on a line drive to left fielder Eric Patterson.   Mike Carp scores.","R","R","R","SEA","OAK","X","null","line_drive",1,0,2009,"-1.5930591666666667","1.4733733333333333","-0.0260","2.5600","null","null","455077.00",2,5,"Bot","46.18","111.45",,,"null",,"null",,,,,,,"3.2100","1.5700","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","1.25",1,1,1,"null",46,"2"
"SL","2009-09-29","85.8","null","null","Trevor Cahill",407849,502239,"null","ball",,,,,"14","null","R","R","R","SEA","OAK","B","null","null",0,0,2009,"-0.00154916666666666667","0.61968000000000000000","1.2400","1.0950","null","null","455077.00",2,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.2100","1.5700","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",46,"1"
"CH","2009-09-29","82.9","null","null","Trevor Cahill",455077,502239,"single","hit_into_play_no_out",,,,,"13","Mike Carp singles on a ground ball to third baseman Adam Kennedy.","R","L","R","SEA","OAK","X","null","ground_ball",1,1,2009,"-1.6221450000000000","0.70095000000000000000","-0.9110","1.9210","null","null","null",2,5,"Bot","98.39","170.68",,,"null",,"null",,,,,,,"3.2200","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",45,"3"
"FF","2009-09-29","92.9","null","null","Trevor Cahill",455077,502239,"null","ball",,,,,"9","null","R","L","R","SEA","OAK","B","null","null",0,1,2009,"-1.12476333333333333333","1.4508700000000000","0.4490","1.7410","null","null","null",2,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.2200","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",45,"2"
"SL","2009-09-29","83.3","null","null","Trevor Cahill",455077,502239,"null","called_strike",,,,,"7","null","R","L","R","SEA","OAK","S","null","null",0,0,2009,"-0.15324083333333333333","0.12890666666666666667","-0.7710","1.7860","null","null","null",2,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.2200","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",45,"1"
"SL","2009-09-29","85.1","null","null","Trevor Cahill",134181,502239,"field_out","hit_into_play",,,,,"6","Adrian Beltre grounds out, shortstop Cliff Pennington to first baseman Daric Barton.","R","R","R","SEA","OAK","X","6","ground_ball",0,0,2009,"0.22459666666666666667","0.02843000000000000000","0.7980","2.7030","null","null","null",1,5,"Bot","111.45","158.63",,,"null",,"null",,,,,,,"3.3000","1.5600","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",44,"1"
"SI","2009-09-29","90.5","null","null","Trevor Cahill",115135,502239,"home_run","hit_into_play_score",,,,,"8","Ken Griffey homers (17) on a fly ball to right field.    Ichiro Suzuki scores.    Jose Lopez scores.","R","L","R","SEA","OAK","X","null","fly_ball",0,0,2009,"-1.3763766666666667","0.61896333333333333333","-0.0870","2.1370","null","400085.00","430946.00",1,5,"Bot","222.89","68.27",,,"null",,"null",,,,,,,"3.6300","1.7200","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",43,"1"
"SI","2009-09-29","92.6","null","null","Trevor Cahill",430946,502239,"single","hit_into_play_no_out",,,,,"8","Jose Lopez singles on a line drive to right fielder Ryan Sweeney.   Ichiro Suzuki to 2nd.","R","R","R","SEA","OAK","X","null","line_drive",0,1,2009,"-1.5037141666666667","0.64720000000000000000","0.2750","1.9950","null","null","400085.00",1,5,"Bot","165.66","107.43",,,"null",,"null",,,,,,,"3.2300","1.5400","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",42,"2"
"SL","2009-09-29","84.9","null","null","Trevor Cahill",430946,502239,"null","foul",,,,,"9","null","R","R","R","SEA","OAK","S","null","null",0,0,2009,"-0.14363833333333333333","0.17706666666666666667","0.4200","1.8940","null","null","400085.00",1,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.2300","1.5400","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",42,"1"
"CH","2009-09-29","84.1","null","null","Trevor Cahill",429711,502239,"sac_fly","hit_into_play_score",,,,,"12","Franklin Gutierrez out on a sacrifice fly to center fielder Rajai Davis.   Josh Wilson scores.","R","R","R","SEA","OAK","X","8","fly_ball",0,1,2009,"-1.2206491666666667","0.75943000000000000000","0.2220","3.2050","425543.00","null","400085.00",0,5,"Bot","85.34","30.12",,,"null",,"null",,,,,,,"3.0500","1.4700","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",41,"2"
"CH","2009-09-29","82.9","null","null","Trevor Cahill",429711,502239,"null","called_strike",,,,,"6","null","R","R","R","SEA","OAK","S","null","null",0,0,2009,"-0.95818083333333333333","1.20892333333333333333","0.3430","2.2640","425543.00","null","400085.00",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.0500","1.4700","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",41,"1"
"SI","2009-09-29","91.3","null","null","Trevor Cahill",400085,502239,"single","hit_into_play_no_out",,,,,"4","Ichiro Suzuki singles on a line drive to right fielder Ryan Sweeney.   Josh Wilson to 3rd.","R","L","R","SEA","OAK","X","null","line_drive",2,1,2009,"-1.5858225000000000","0.97127666666666666667","-0.5180","2.2270","null","425543.00","null",0,5,"Bot","176.71","116.47",,,"null",,"null",,,,,,,"3.3400","1.5100","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",40,"4"
"CH","2009-09-29","83.3","null","null","Trevor Cahill",400085,502239,"null","foul_bunt",,,,,"5","null","R","L","R","SEA","OAK","S","null","null",2,0,2009,"-0.75652833333333333333","0.99421000000000000000","0.0630","2.4290","null","425543.00","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.3400","1.5100","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",40,"3"
"SI","2009-09-29","91.7","null","null","Trevor Cahill",400085,502239,"null","ball",,,,,"14","null","R","L","R","SEA","OAK","B","null","null",1,0,2009,"-1.5067758333333333","1.15431333333333333333","0.5220","0.8680","null","425543.00","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.3400","1.5100","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",40,"2"
"SI","2009-09-29","91.7","null","null","Trevor Cahill",400085,502239,"null","ball",,,,,"14","null","R","L","R","SEA","OAK","B","null","null",0,0,2009,"-1.19726916666666666667","0.89516666666666666667","0.1900","1.0380","null","425543.00","null",0,5,"Bot","null","null",,,"null",,"null",,,,,,,"3.3400","1.5100","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",40,"1"
"FF","2009-09-29","91.9","null","null","Trevor Cahill",425543,502239,"double","hit_into_play_no_out",,,,,"4","Josh Wilson doubles (9) on a line drive to left fielder Eric Patterson.","R","R","R","SEA","OAK","X","null","line_drive",0,0,2009,"-1.17319333333333333333","1.4554566666666667","-0.4050","2.4840","null","null","null",0,5,"Bot","36.14","99.40",,,"null",,"null",,,,,,,"3.4300","1.5600","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","1.25",1,1,1,"null",39,"1"
"SI","2009-09-29","92.5","null","null","Trevor Cahill",453531,502239,"field_out","hit_into_play",,,,,"9","Rob Johnson grounds out, second baseman Mark Ellis to first baseman Daric Barton.","R","R","R","SEA","OAK","X","4","ground_ball",3,2,2009,"-1.8988083333333333","0.32298000000000000000","0.6710","2.0430","null","455077.00","null",2,4,"Bot","136.55","154.62",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",35,"8"
"SI","2009-09-29","92.8","null","null","Trevor Cahill",453531,502239,"null","foul",,,,,"8","null","R","R","R","SEA","OAK","S","null","null",3,2,2009,"-1.7709141666666667","0.52651333333333333333","0.2590","1.7310","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"7"
"SL","2009-09-29","87.1","null","null","Trevor Cahill",453531,502239,"null","ball",,,,,"12","null","R","R","R","SEA","OAK","B","null","null",2,2,2009,"0.05759666666666666667","0.35322333333333333333","0.9830","3.0020","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"6"
"CH","2009-09-29","83.4","null","null","Trevor Cahill",453531,502239,"null","foul",,,,,"11","null","R","R","R","SEA","OAK","S","null","null",2,2,2009,"-1.17013166666666666667","0.05165000000000000000","-1.3220","3.7030","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"5"
"SI","2009-09-29","92.0","null","null","Trevor Cahill",453531,502239,"null","foul",,,,,"2","null","R","R","R","SEA","OAK","S","null","null",2,1,2009,"-1.4669741666666667","0.63587666666666666667","-0.1270","3.3090","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"4"
"SI","2009-09-29","92.5","null","null","Trevor Cahill",453531,502239,"null","foul",,,,,"1","null","R","R","R","SEA","OAK","S","null","null",2,0,2009,"-1.4152041666666667","1.02445333333333333333","-0.4870","3.0520","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"3"
"CH","2009-09-29","84.6","null","null","Trevor Cahill",453531,502239,"null","ball",,,,,"9","null","R","R","R","SEA","OAK","B","null","null",1,0,2009,"-1.4188225000000000","0.73922000000000000000","0.8180","1.7230","null","455077.00","null",2,4,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",246547,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",35,"2"
