"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2014-09-28","89.8","null","null","C.J. Riefenhauser",502082,592677,"field_out","hit_into_play",,,,,"1","Lonnie Chisenhall lines out to left fielder Brandon Guyer.","R","L","L","CLE","TB","X","7","line_drive",0,2,2014,"0.61315000000000000000","1.08436666666666666667","-0.4320","3.3100","null","null","608070.00",2,8,"Bot","57.23","100.40",,,"null",,"null",,,,,,,"3.4400","1.6000","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",68,"4"
"FF","2014-09-28","90.6","null","null","C.J. Riefenhauser",502082,592677,"null","foul",,,,,"13","null","R","L","L","CLE","TB","S","null","null",0,2,2014,"0.66464166666666666667","1.4111666666666667","-1.3470","2.3740","null","null","608070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.4400","1.6000","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"3"
"FF","2014-09-28","90.4","null","null","C.J. Riefenhauser",502082,592677,"null","called_strike",,,,,"7","null","R","L","L","CLE","TB","S","null","null",0,1,2014,"0.92210000000000000000","1.3653000000000000","-0.3670","1.8770","null","null","608070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.4400","1.6000","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"2"
"SL","2014-09-28","76.3","null","null","C.J. Riefenhauser",502082,592677,"null","called_strike",,,,,"7","null","R","L","L","CLE","TB","S","null","null",0,0,2014,"-1.05267500000000000000","0.33616666666666666667","-0.5070","1.5360","null","null","608070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.4400","1.6000","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",68,"1"
"CH","2014-09-28","80.3","null","null","C.J. Riefenhauser",608070,592677,"single","hit_into_play_no_out",,,,,"14","Jose Ramirez singles on a line drive to center fielder Kevin Kiermaier.","R","R","L","CLE","TB","X","null","line_drive",0,2,2014,"0.90540000000000000000","1.02990000000000000000","1.0720","1.4210","null","null","null",2,8,"Bot","127.51","90.36",,,"null",,"null",,,,,,,"3.2900","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",67,"4"
"FF","2014-09-28","90.6","null","null","C.J. Riefenhauser",608070,592677,"null","foul",,,,,"6","null","R","R","L","CLE","TB","S","null","null",0,2,2014,"0.50877500000000000000","1.4341000000000000","0.4130","2.3030","null","null","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2900","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"3"
"CH","2014-09-28","80.2","null","null","C.J. Riefenhauser",608070,592677,"null","swinging_strike",,,,,"7","null","R","R","L","CLE","TB","S","null","null",0,1,2014,"0.57279166666666666667","1.13310000000000000000","-0.5590","1.6640","null","null","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2900","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"2"
"CH","2014-09-28","80.6","null","null","C.J. Riefenhauser",608070,592677,"null","called_strike",,,,,"6","null","R","R","L","CLE","TB","S","null","null",0,0,2014,"0.67438333333333333333","0.57266666666666666667","0.6740","2.4870","null","null","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2200","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",67,"1"
"FF","2014-09-28","89.6","null","null","C.J. Riefenhauser",543776,592677,"field_out","hit_into_play",,,,,"8","J.  B.   Shuck lines out to left fielder Brandon Guyer.","R","L","L","CLE","TB","X","7","line_drive",1,1,2014,"0.68969166666666666667","1.2864666666666667","0.1550","1.8050","null","null","null",1,8,"Bot","85.34","87.35",,,"null",,"null",,,,,,,"3.2500","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",66,"3"
"SL","2014-09-28","77.1","null","null","C.J. Riefenhauser",543776,592677,"null","called_strike",,,,,"4","null","R","L","L","CLE","TB","S","null","null",1,0,2014,"-0.84531666666666666667","0.15413333333333333333","-0.3570","2.5720","null","null","null",1,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2000","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"2"
"FF","2014-09-28","89.9","null","null","C.J. Riefenhauser",543776,592677,"null","ball",,,,,"11","null","R","L","L","CLE","TB","B","null","null",0,0,2014,"0.55052500000000000000","1.13453333333333333333","-0.8630","3.2610","null","null","null",1,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2500","1.5100","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",66,"1"
"FF","2014-09-28","90.4","null","null","C.J. Riefenhauser",534627,592677,"field_out","hit_into_play",,,,,"8","Tyler Holt flies out to right fielder Wil Myers.","R","R","L","CLE","TB","X","9","fly_ball",3,2,2014,"0.71056666666666666667","1.4212000000000000","0.0110","1.8500","null","null","null",0,8,"Bot","177.71","124.50",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",65,"7"
"FF","2014-09-28","90.3","null","null","C.J. Riefenhauser",534627,592677,"null","foul",,,,,"8","null","R","R","L","CLE","TB","S","null","null",3,2,2014,"0.78154166666666666667","1.3868000000000000","-0.0100","1.7970","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"6"
"FF","2014-09-28","88.6","null","null","C.J. Riefenhauser",534627,592677,"null","foul",,,,,"11","null","R","R","L","CLE","TB","S","null","null",3,1,2014,"0.52825833333333333333","1.5373000000000000","-1.1740","2.4460","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"5"
"FF","2014-09-28","87.7","null","null","C.J. Riefenhauser",534627,592677,"null","called_strike",,,,,"7","null","R","R","L","CLE","TB","S","null","null",3,0,2014,"0.57696666666666666667","1.4384000000000000","-0.4890","1.8700","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6700","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"4"
"FF","2014-09-28","88.3","null","null","C.J. Riefenhauser",534627,592677,"null","ball",,,,,"13","null","R","R","L","CLE","TB","B","null","null",2,0,2014,"0.50320833333333333333","1.7250666666666667","-2.4530","1.4940","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"3"
"CH","2014-09-28","80.1","null","null","C.J. Riefenhauser",534627,592677,"null","ball",,,,,"13","null","R","R","L","CLE","TB","B","null","null",1,0,2014,"0.83860000000000000000","1.11016666666666666667","-1.3180","1.1850","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2300","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"2"
"FF","2014-09-28","89.8","null","null","C.J. Riefenhauser",534627,592677,"null","ball",,,,,"13","null","R","R","L","CLE","TB","B","null","null",0,0,2014,"0.84555833333333333333","1.3208666666666667","-1.2530","1.6340","null","null","null",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.1900","1.4900","null","null","null","null","null","null",382968,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"1"
"CH","2014-09-25","78.6","null","null","C.J. Riefenhauser",537953,592677,"walk","ball",,,,,"12","Daniel Nava walks.","R","R","L","BOS","TB","B","null","null",3,1,2014,"0.91235833333333333333","1.15316666666666666667","1.0390","3.5830","543877.00","605141.00","null",1,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.4600","1.5100","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","0.70",1,0,0,"null",56,"5"
"SL","2014-09-25","75.5","null","null","C.J. Riefenhauser",537953,592677,"null","ball",,,,,"14","null","R","R","L","BOS","TB","B","null","null",2,1,2014,"-0.95943333333333333333","0.14696666666666666667","1.1720","1.7750","543877.00","605141.00","null",1,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",56,"4"
"CH","2014-09-25","78.4","null","null","C.J. Riefenhauser",537953,592677,"null","ball",,,,,"12","null","R","R","L","BOS","TB","B","null","null",1,1,2014,"0.70221666666666666667","1.11160000000000000000","1.5760","3.7070","543877.00","605141.00","null",1,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.3800","1.5100","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",56,"3"
"FF","2014-09-25","89.3","null","null","C.J. Riefenhauser",537953,592677,"null","ball",,,,,"14","null","R","R","L","BOS","TB","B","null","null",0,1,2014,"0.78293333333333333333","1.5989333333333333","1.1830","2.3070","543877.00","605141.00","null",1,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.4500","1.5100","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",56,"2"
"CH","2014-09-25","79.8","null","null","C.J. Riefenhauser",537953,592677,"null","called_strike",,,,,"9","null","R","R","L","BOS","TB","S","null","null",0,0,2014,"0.59645000000000000000","1.4900000000000000","0.6150","2.0820","543877.00","605141.00","null",1,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.4700","1.5100","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",56,"1"
"CH","2014-09-25","80.4","null","null","C.J. Riefenhauser",593428,592677,"strikeout","swinging_strike_blocked",,,,,"13","Xander Bogaerts strikes out swinging.","R","R","L","BOS","TB","S","null","null",1,2,2014,"0.65490000000000000000","1.4298000000000000","-0.9850","1.2220","543877.00","605141.00","null",0,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.5000","1.6300","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",55,"5"
"FF","2014-09-25","91.5","null","null","C.J. Riefenhauser",593428,592677,"null","foul",,,,,"14","null","R","R","L","BOS","TB","S","null","null",1,2,2014,"0.9708083333333333","1.4756666666666667","1.1360","2.0410","543877.00","605141.00","null",0,6,"Bot","null","null",,,"null",,"null",,,,,,,"3.5000","1.6300","null","null","null","null","null","null",382923,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",55,"4"
