"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2014-09-27","91.8","null","null","Blake Parker",407489,453284,"strikeout","swinging_strike",,,,,"13","Lyle Overbay strikes out swinging.","R","L","R","MIL","CHC","S","null","null",3,2,2014,"-0.15365833333333333333","1.5244000000000000","-0.4160","1.4830","null","467070.00","null",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",65,"6"
"CU","2014-09-27","76.6","null","null","Blake Parker",407489,453284,"null","ball",,,,,"13","null","R","L","R","MIL","CHC","B","null","null",2,2,2014,"0.51295000000000000000","-0.63993333333333333333","-0.9230","2.5720","null","null","467070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"5"
"FS","2014-09-27","83.4","null","null","Blake Parker",407489,453284,"null","blocked_ball",,,,,"13","null","R","L","R","MIL","CHC","B","null","null",1,2,2014,"-1.2391583333333333","0.73606666666666666667","-0.5360","0.8820","null","null","467070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"4"
"FF","2014-09-27","90.8","null","null","Blake Parker",407489,453284,"null","foul",,,,,"13","null","R","L","R","MIL","CHC","S","null","null",1,1,2014,"-0.85784166666666666667","1.3968333333333333","-0.8460","2.5240","null","null","467070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"3"
"FF","2014-09-27","91.0","null","null","Blake Parker",407489,453284,"null","ball",,,,,"13","null","R","L","R","MIL","CHC","B","null","null",0,1,2014,"-0.39580833333333333333","1.6577000000000000","-0.3190","1.0090","null","null","467070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"2"
"FF","2014-09-27","91.5","null","null","Blake Parker",407489,453284,"null","called_strike",,,,,"7","null","R","L","R","MIL","CHC","S","null","null",0,0,2014,"-0.33875000000000000000","1.4212000000000000","-0.3820","2.0210","null","null","467070.00",2,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.6000","1.6600","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",65,"1"
"FF","2014-09-27","92.0","null","null","Blake Parker",467827,453284,"field_out","hit_into_play",,,,,"7","Gerardo Parra flies out to left fielder Chris Coghlan.","R","L","R","MIL","CHC","X","7","fly_ball",1,0,2014,"-0.41250833333333333333","1.5860333333333333","-0.2870","1.7990","null","null","467070.00",1,8,"Bot","69.28","102.41",,,"null",,"null",,,,,,,"3.2100","1.4800","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",64,"2"
"CU","2014-09-27","76.1","null","null","Blake Parker",467827,453284,"null","blocked_ball",,,,,"14","null","R","L","R","MIL","CHC","B","null","null",0,0,2014,"1.0111666666666667","-0.71303333333333333333","0.1800","0.9330","null","null","467070.00",1,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2100","1.4800","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",64,"1"
"FF","2014-09-27","91.5","null","null","Blake Parker",516416,453284,"strikeout","swinging_strike",,,,,"2","Jean Segura strikes out swinging.","R","R","R","MIL","CHC","S","null","null",2,2,2014,"-0.63517500000000000000","1.5301333333333333","0.0470","2.9420","null","null","467070.00",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",63,"5"
"FF","2014-09-27","92.5","null","null","Blake Parker",516416,453284,"null","ball",,,,,"13","null","R","R","R","MIL","CHC","B","null","null",1,2,2014,"-0.49044166666666666667","1.6147000000000000","-0.7740","1.2000","null","null","467070.00",0,8,"Bot","null","null",,,"null",,"null",,,,,,,"3.2700","1.4900","null","null","null","null","null","null",382942,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",63,"4"
