"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2015-10-02","94.6","-1.1997","6.2200","Allen Webster",474892,543903,"strikeout","called_strike",,,,,"8","Chris Carter called out on strikes.","R","R","R","ARI","HOU","S","null","null",3,2,2015,"-0.83696666666666666667","1.28073333333333333333","0.0840","2.0830","null","null","null",2,6,"Top","null","null",,,456078,,"151002_204010",,,,,,,"3.7200","1.7800","null","null","null","95.2470","2246","6.5170",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.9824","0.000","0.000","0.00",1,0,0,"null",54,"7"
"SL","2015-10-02","88.0","-1.0273","6.2835","Allen Webster",474892,543903,"null","foul",,,,,"4","null","R","R","R","ARI","HOU","S","null","null",3,2,2015,"0.28610833333333333333","0.64720000000000000000","-0.6080","2.6590","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203950",,,,,,,"3.7200","1.7800","72","105.9","2.5230","88.7360","2360","6.2610",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.2384","0.000","0.000","null","null","null","null",4,54,"6"
"SL","2015-10-02","87.3","-0.9555","6.3385","Allen Webster",474892,543903,"null","ball",,,,,"14","null","R","R","R","ARI","HOU","B","null","null",2,2,2015,"0.45867500000000000000","0.45513333333333333333","1.0760","1.4480","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203934",,,,,,,"3.7200","1.7800","null","null","null","87.1080","2490","6.0010",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.4983","0.000","0.000","null","null","null","null","null",54,"5"
"SL","2015-10-02","87.6","-1.1825","6.2691","Allen Webster",474892,543903,"null","swinging_strike",,,,,"14","null","R","R","R","ARI","HOU","S","null","null",2,1,2015,"0.26523333333333333333","0.20430000000000000000","0.8700","1.6640","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203918",,,,,,,"3.7200","1.7800","null","null","null","87.3830","2357","5.9730",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.5259","0.000","0.000","null","null","null","null","null",54,"4"
"CH","2015-10-02","85.2","-1.4035","6.1853","Allen Webster",474892,543903,"null","ball",,,,,"13","null","R","R","R","ARI","HOU","B","null","null",1,1,2015,"-0.77573333333333333333","1.2850333333333333","-1.7230","2.5720","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203905",,,,,,,"3.8400","1.7800","null","null","null","86.6240","1999","7.2530",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.2459","0.000","0.000","null","null","null","null","null",54,"3"
"SL","2015-10-02","86.4","-1.1589","6.2968","Allen Webster",474892,543903,"null","called_strike",,,,,"1","null","R","R","R","ARI","HOU","S","null","null",1,0,2015,"0.14972500000000000000","0.51676666666666666667","-0.3860","3.2390","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203853",,,,,,,"3.8200","1.8200","null","null","null","86.7800","null","6.4020",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.0969","0.000","0.000","null","null","null","null","null",54,"2"
"SL","2015-10-02","87.0","-1.2343","6.2737","Allen Webster",474892,543903,"null","ball",,,,,"1","null","R","R","R","ARI","HOU","B","null","null",0,0,2015,"0.50181666666666666667","0.18710000000000000000","-0.7210","3.8820","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203840",,,,,,,"3.8300","1.7800","null","null","null","87.2080","2235","6.2490",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.2505","0.000","0.000","null","null","null","null","null",54,"1"
"FT","2015-10-02","91.0","-1.1817","6.1879","Allen Webster",472528,543903,"home_run","hit_into_play_score",,,,,"4","Luis Valbuena homers (25) on a line drive to right center field.","R","L","R","ARI","HOU","X","null","line_drive",2,0,2015,"-1.5801166666666667","0.69163333333333333333","-0.7190","2.5770","null","null","null",2,6,"Top","171.77","29.48",,,456078,,"151002_203731",,,,,,,"3.3300","1.6000","426","103.3","25.3460","92.5010","2174","7.0220",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.4768","0.846","1.522","2.00",1,0,3,6,53,"3"
"FF","2015-10-02","90.9","-1.3085","6.2061","Allen Webster",472528,543903,"null","ball",,,,,"13","null","R","L","R","ARI","HOU","B","null","null",1,0,2015,"-1.16679166666666666667","1.3008000000000000","-0.9660","1.3230","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203715",,,,,,,"3.3300","1.6000","null","null","null","91.5200","2075","6.3740",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.1246","0.000","0.000","null","null","null","null","null",53,"2"
"FT","2015-10-02","92.2","-1.2043","6.2548","Allen Webster",472528,543903,"null","ball",,,,,"13","null","R","L","R","ARI","HOU","B","null","null",0,0,2015,"-1.2168916666666667","1.13453333333333333333","-0.3750","1.0840","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203700",,,,,,,"3.5100","1.6000","null","null","null","92.8470","2096","6.3470",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.1517","0.000","0.000","null","null","null","null","null",53,"1"
"FF","2015-10-02","91.8","-1.2284","6.2496","Allen Webster",458675,543903,"home_run","hit_into_play_score",,,,,"7","Colby Rasmus homers (23) on a line drive to right center field.    Carlos Correa scores.","R","L","R","ARI","HOU","X","null","line_drive",3,2,2015,"-0.98309166666666666667","1.03420000000000000000","-0.4690","1.5830","null","621043.00","null",2,6,"Top","179.39","29.48",,,456078,,"151002_203557",,,,,,,"3.5000","1.6700","427","103.4","28.5680","92.8590","2197","6.7570",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.7418","0.812","1.555","2.00",1,0,3,6,52,"6"
"FT","2015-10-02","90.2","-1.1341","6.2656","Allen Webster",458675,543903,"null","called_strike",,,,,"11","null","R","L","R","ARI","HOU","S","null","null",3,1,2015,"-1.07633333333333333333","0.90520000000000000000","-0.9420","2.7290","null","null","621043.00",2,6,"Top","null","null",,,456078,,"151002_203522",,,,,,,"3.5700","1.4800","null","null","null","91.7270","2100","6.8180",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.6812","0.000","0.000","null","null","null","null","null",52,"5"
"FF","2015-10-02","90.4","-1.1759","6.2032","Allen Webster",458675,543903,"null","foul",,,,,"5","null","R","L","R","ARI","HOU","S","null","null",3,0,2015,"-0.75207500000000000000","1.5430333333333333","0.2030","2.8530","null","null","621043.00",2,6,"Top","null","null",,,456078,,"151002_203452",,,,,,,"3.5000","1.6700","null","null","null","90.7390","2189","6.4970",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.0018","0.000","0.000","null","null","null","null","null",52,"4"
"FT","2015-10-02","90.6","-1.2096","6.2997","Allen Webster",458675,543903,"null","ball",,,,,"11","null","R","L","R","ARI","HOU","B","null","null",2,0,2015,"-1.2433333333333333","1.01843333333333333333","-1.9060","2.7020","null","null","621043.00",2,6,"Top","null","null",,,456078,,"151002_203434",,,,,,,"3.5900","1.4700","null","null","null","91.6610","2174","6.7960",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.7027","0.000","0.000","null","null","null","null","null",52,"3"
"FT","2015-10-02","90.3","-1.1800","6.1390","Allen Webster",458675,543903,"null","ball",,,,,"11","null","R","L","R","ARI","HOU","B","null","null",1,0,2015,"-1.07355000000000000000","0.84930000000000000000","-1.9040","3.9680","null","null","621043.00",2,6,"Top","null","null",,,456078,,"151002_203405",,,,,,,"3.6200","1.5300","null","null","null","91.2920","2162","6.7070",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.7921","0.000","0.000","null","null","null","null","null",52,"2"
"CH","2015-10-02","84.6","-1.2969","6.0171","Allen Webster",458675,543903,"null","blocked_ball",,,,,"14","null","R","L","R","ARI","HOU","B","null","null",0,0,2015,"-1.07772500000000000000","1.3925333333333333","0.6590","0.1950","null","null","621043.00",2,6,"Top","null","null",,,456078,,"151002_203345",,,,,,,"3.6200","1.5300","null","null","null","85.7060","1964","6.7220",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.7772","0.000","0.000","null","null","null","null","null",52,"1"
"FF","2015-10-02","92.4","-1.1289","6.2246","Allen Webster",621043,543903,"walk","ball",,,,,"14","Carlos Correa walks.","R","R","R","ARI","HOU","B","null","null",3,2,2015,"-1.11808333333333333333","1.08150000000000000000","0.0480","0.9450","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203249",,,,,,,"3.7100","1.6800","null","null","null","93.6790","2221","6.7190",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.7799","0.000","0.000","0.70",1,0,0,"null",51,"6"
"FT","2015-10-02","89.9","-1.2093","6.2984","Allen Webster",621043,543903,"null","swinging_strike",,,,,"13","null","R","R","R","ARI","HOU","S","null","null",3,1,2015,"-1.2642083333333333","0.78480000000000000000","-1.1740","1.9030","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203234",,,,,,,"3.5500","1.5500","null","null","null","90.9860","2098","6.5350",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"53.9638","0.000","0.000","null","null","null","null","null",51,"5"
"FF","2015-10-02","93.2","-1.0908","6.2797","Allen Webster",621043,543903,"null","called_strike",,,,,"7","null","R","R","R","ARI","HOU","S","null","null",3,0,2015,"-0.93299166666666666667","1.4040000000000000","-0.3870","2.0490","null","null","null",2,6,"Top","null","null",,,456078,,"151002_203217",,,,,,,"3.8100","1.5500","null","null","null","94.1500","2235","6.4260",416041,543903,456078,502671,431094,592273,572008,594838,572041,593647,"54.0734","0.000","0.000","null","null","null","null","null",51,"4"
