"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-06-14","92.8","-2.2102","5.7093","Mike Wright",453943,605541,"field_out","hit_into_play",,,,,"6","Todd Frazier grounds out, third baseman Manny Machado to first baseman Trey Mancini.  ","R","R","R","CWS","BAL","X","5","ground_ball",1,2,2017,"-1.1169","1.2693","0.4431","2.5462","null","541645.00","null",2,7,"Bot","107.61","166.16",,,456078,,"170615_042645",,,,,,,"3.2937","1.3647","null","82.9","-20.6990","92.1830","2204","6.1300",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.3689","0.075","0.069","0.00",1,0,0,2,68,"4"
"CH","2017-06-14","86.9","-2.1417","5.9769","Mike Wright",453943,605541,"null","ball",,,,,"11","null","R","R","R","CWS","BAL","B","null","null",0,2,2017,"-1.2952","1.5257","-0.8547","4.7631","null","541645.00","null",2,7,"Bot","null","null",,,456078,,"170615_042610",,,,,,,"3.0796","1.4711","null","null","null","86.1660","2032","5.9850",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.5139","0.000","0.000","null","null","null","null","null",68,"3"
"FT","2017-06-14","89.5","-2.4841","5.4640","Mike Wright",453943,605541,"null","foul",,,,,"9","null","R","R","R","CWS","BAL","S","null","null",0,1,2017,"-1.5216","0.6785","0.2811","1.7863","null","541645.00","null",2,7,"Bot","null","null",,,456078,,"170615_042540",,,,,,,"3.2937","1.3647","85","43.3","23.5974","89.5360","1961","6.2790",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.2193","0.000","0.000","null","null","null","null",1,68,"2"
"FT","2017-06-14","89.8","-2.5107","5.3299","Mike Wright",453943,605541,"null","called_strike",,,,,"9","null","R","R","R","CWS","BAL","S","null","null",0,0,2017,"-1.4415","0.2123","0.5008","1.9099","null","541645.00","null",2,7,"Bot","null","null",,,456078,,"170615_042514",,,,,,,"3.2837","1.5358","null","null","null","89.7610","1906","6.1490",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.3496","0.000","0.000","null","null","null","null","null",68,"1"
"CU","2017-06-14","80.3","-2.5715","5.8341","Mike Wright",541645,605541,"double","hit_into_play_no_out",,,,,"11","Avisail Garcia doubles (16) on a ground ball to left fielder Hyun Soo Kim.  ","R","R","R","CWS","BAL","X","null","ground_ball",1,0,2017,"-0.0724","-0.3346","-0.9659","2.5957","null","null","null",2,7,"Bot","66.07","137.42",,,456078,,"170615_042405",,,,,,,"3.4345","1.5458","109","95.9","6.3890","80.4050","2407","5.9060",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.5924","0.608","0.571","1.25",1,1,1,4,67,"2"
"SL","2017-06-14","84.2","-2.4766","5.7132","Mike Wright",541645,605541,"null","ball",,,,,"11","null","R","R","R","CWS","BAL","B","null","null",0,0,2017,"-0.0305","0.3879","-0.8764","3.1058","null","null","null",2,7,"Bot","null","null",,,456078,,"170615_042345",,,,,,,"3.4187","1.7758","null","null","null","83.1730","2147","5.8010",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.6975","0.000","0.000","null","null","null","null","null",67,"1"
"SL","2017-06-14","87.6","-2.3949","5.7312","Mike Wright",547989,605541,"field_out","hit_into_play",,,,,"8","Jose Abreu pops out to second baseman Jonathan Schoop.  ","R","R","R","CWS","BAL","X","4","popup",3,2,2017,"0.0301","0.3368","0.0795","1.7150","null","null","null",1,7,"Bot","120.30","151.49",,,456078,,"170615_042305",,,,,,,"3.3843","1.4050","122","68.3","63.4920","87.3020","2273","6.0300",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.4686","0.005","0.006","0.00",1,0,0,3,66,"7"
"FF","2017-06-14","95.6","-2.1484","5.7281","Mike Wright",547989,605541,"null","foul",,,,,"5","null","R","R","R","CWS","BAL","S","null","null",3,2,2017,"-0.7479","1.4118","-0.0136","2.6368","null","null","null",1,7,"Bot","null","null",,,456078,,"170615_042232",,,,,,,"3.3843","1.4050","null","null","null","95.4270","2268","6.2860",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.2128","0.000","0.000","null","null","null","null","null",66,"6"
"SL","2017-06-14","87.4","-2.3572","5.8533","Mike Wright",547989,605541,"null","foul",,,,,"5","null","R","R","R","CWS","BAL","S","null","null",3,1,2017,"0.0925","0.1778","-0.0327","2.0324","null","null","null",1,7,"Bot","null","null",,,456078,,"170615_042202",,,,,,,"3.3843","1.4050","10","82.3","-13.2428","86.6190","2349","5.9340",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.5645","0.000","0.000","null","null","null","null",2,66,"5"
"FT","2017-06-14","93.4","-2.4988","5.7221","Mike Wright",547989,605541,"null","ball",,,,,"11","null","R","R","R","CWS","BAL","B","null","null",2,1,2017,"-1.1395","0.9250","-1.4882","3.2399","null","null","null",1,7,"Bot","null","null",,,456078,,"170615_042141",,,,,,,"3.4719","1.5991","null","null","null","93.4500","2132","6.2920",491077,605541,456078,641820,570731,592518,429666,547957,430945,444432,"54.2071","0.000","0.000","null","null","null","null","null",66,"4"
