"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FT","2016-08-23","87.6","1.6919","5.5679","Jonathon Niese",461235,477003,"single","hit_into_play_score",,,,,"8","Brandon Moss singles on a ground ball to right fielder Jay Bruce.   Tommy Pham scores.    Matt Carpenter to 3rd.","R","L","L","STL","NYM","X","null","ground_ball",3,2,2016,"0.89844166666666666667","0.81060000000000000000","0.1990","1.7380","null","502054.00","572761.00",1,1,"Bot","177.15","120.38",,,518595,,"160823_193503",,,,,,,"3.4200","1.6000","58","104.2","1.8070","87.5140","1949","6.4240",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.0779","0.555","0.518","0.90",1,1,0,4,10,"8"
"FF","2016-08-23","87.8","1.6141","5.6376","Jonathon Niese",461235,477003,"null","foul",,,,,"14","null","R","L","L","STL","NYM","S","null","null",3,2,2016,"0.62289166666666666667","1.06286666666666666667","0.1680","1.0400","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193428",,,,,,,"3.4200","1.6000","null","null","null","87.4140","1883","6.2460",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.2565","0.000","0.000","null","null","null","null","null",10,"7"
"FT","2016-08-23","86.4","1.5608","5.6770","Jonathon Niese",461235,477003,"null","blocked_ball",,,,,"13","null","R","L","L","STL","NYM","B","null","null",2,2,2016,"1.0557000000000000","0.88226666666666666667","-0.1190","0.7760","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193402",,,,,,,"3.4200","1.6000","null","null","null","86.5870","1903","6.5450",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"53.9569","0.000","0.000","null","null","null","null","null",10,"6"
"FF","2016-08-23","87.8","1.6306","5.6151","Jonathon Niese",461235,477003,"null","blocked_ball",,,,,"13","null","R","L","L","STL","NYM","B","null","null",1,2,2016,"0.9582833333333333","1.15603333333333333333","-0.2240","0.3470","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193333",,,,,,,"3.4200","1.6000","null","null","null","87.4310","1981","6.3400",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.1616","0.000","0.000","null","null","null","null","null",10,"5"
"CU","2016-08-23","73.4","1.3189","6.1804","Jonathon Niese",461235,477003,"null","foul",,,,,"7","null","R","L","L","STL","NYM","S","null","null",1,2,2016,"-0.47513333333333333333","-0.40486666666666666667","-0.5210","1.6580","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193305",,,,,,,"3.4200","1.6000","null","null","null","73.2430","2295","6.2530",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.2494","0.000","0.000","null","null","null","null","null",10,"4"
"CU","2016-08-23","73.7","1.2481","6.1604","Jonathon Niese",461235,477003,"null","swinging_strike",,,,,"13","null","R","L","L","STL","NYM","S","null","null",1,1,2016,"-0.55863333333333333333","-0.47080000000000000000","-0.0520","1.1850","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193242",,,,,,,"3.4200","1.6000","null","null","null","73.2740","2303","6.3560",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.1461","0.000","0.000","null","null","null","null","null",10,"3"
"FF","2016-08-23","86.7","1.6908","5.7086","Jonathon Niese",461235,477003,"null","ball",,,,,"8","null","R","L","L","STL","NYM","B","null","null",0,1,2016,"0.79545833333333333333","1.03706666666666666667","0.1990","1.5140","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193223",,,,,,,"3.4200","1.6000","null","null","null","86.9140","1968","6.5830",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"53.9190","0.000","0.000","null","null","null","null","null",10,"2"
"FF","2016-08-23","86.7","1.8713","5.6923","Jonathon Niese",461235,477003,"null","foul",,,,,"14","null","R","L","L","STL","NYM","S","null","null",0,0,2016,"0.81772500000000000000","1.00410000000000000000","0.9460","2.2500","null","502054.00","572761.00",1,1,"Bot","null","null",,,518595,,"160823_193151",,,,,,,"3.4200","1.6000","null","null","null","86.1360","1875","6.3040",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.1977","0.000","0.000","null","null","null","null","null",10,"1"
"FC","2016-08-23","88.6","1.7951","5.5193","Jonathon Niese",572761,477003,"walk","ball",,,,,"13","Matt Carpenter walks.   Tommy Pham to 2nd.","R","L","L","STL","NYM","B","null","null",3,1,2016,"0.07457500000000000000","1.15030000000000000000","-1.2450","1.7690","null","null","502054.00",1,1,"Bot","null","null",,,518595,,"160823_193100",,,,,,,"3.6400","1.7300","null","null","null","88.6870","2083","6.5920",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"53.9102","0.000","0.000","0.70",1,0,0,"null",9,"5"
"CH","2016-08-23","80.6","1.8020","5.7117","Jonathon Niese",572761,477003,"null","blocked_ball",,,,,"14","null","R","L","L","STL","NYM","B","null","null",2,1,2016,"0.73840000000000000000","0.96683333333333333333","1.6450","0.1220","null","null","502054.00",1,1,"Bot","null","null",,,518595,,"160823_193034",,,,,,,"3.6400","1.7300","null","null","null","79.4190","1436","6.0810",448740,477003,518595,527038,608061,408314,452678,493316,448605,457803,"54.4216","0.000","0.000","null","null","null","null","null",9,"4"
