"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"CU","2011-09-25","76.2","null","null","Scott Downs",424825,275933,"sac_fly","hit_into_play_score",,,,,"6","Coco Crisp out on a sacrifice fly to center fielder Peter Bourjos.    Jai Miller scores.","R","R","L","LAA","OAK","X","8","fly_ball",1,2,2011,"-1.08885833333333333333","-0.70013333333333333333","0.3160","2.3640","455687.00","435559.00","457789.00",1,8,"Top","141.57","85.34",,,"null",,"null",,,,,,,"3.2700","1.5500","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",59,"4"
"SI","2011-09-25","90.2","null","null","Scott Downs",424825,275933,"null","blocked_ball",,,,,"13","null","R","R","L","LAA","OAK","B","null","null",0,2,2011,"1.3952666666666667","0.62283333333333333333","-1.0900","1.9320","455687.00","435559.00","457789.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.2700","1.5500","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",59,"3"
"CU","2011-09-25","76.5","null","null","Scott Downs",424825,275933,"null","foul",,,,,"7","null","R","R","L","LAA","OAK","S","null","null",0,1,2011,"-1.03040833333333333333","-0.78040000000000000000","-0.6190","1.5390","455687.00","435559.00","457789.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.2700","1.5500","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",59,"2"
"CU","2011-09-25","75.8","null","null","Scott Downs",424825,275933,"null","foul",,,,,"8","null","R","R","L","LAA","OAK","S","null","null",0,0,2011,"-0.88567500000000000000","-0.9882333333333333","-0.1640","1.7270","455687.00","435559.00","457789.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.2700","1.5500","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",59,"1"
"SI","2011-09-25","89.7","null","null","Scott Downs",457789,275933,"single","hit_into_play_score",,,,,"6","Jemile Weeks singles on a line drive to center fielder Peter Bourjos.    Scott Sizemore scores.    Jai Miller to 3rd.    Kurt Suzuki to 2nd.","R","R","L","LAA","OAK","X","null","line_drive",0,0,2011,"1.3006333333333333","0.60993333333333333333","0.5260","2.5240","502003.00","455687.00","435559.00",1,8,"Top","112.45","101.41",,,"null",,"null",,,,,,,"3.3400","1.5600","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",58,"1"
"SI","2011-09-25","89.3","null","null","Scott Downs",435559,275933,"walk","ball",,,,,"7","Kurt Suzuki walks.    Scott Sizemore to 3rd.    Jai Miller to 2nd.","R","R","L","LAA","OAK","B","null","null",3,0,2011,"1.3743916666666667","0.58126666666666666667","-0.7220","1.5220","null","502003.00","455687.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","0.70",1,0,0,"null",57,"4"
"SI","2011-09-25","89.5","null","null","Scott Downs",435559,275933,"null","ball",,,,,"13","null","R","R","L","LAA","OAK","B","null","null",2,0,2011,"1.2978500000000000","0.48523333333333333333","-0.3010","1.0060","null","502003.00","455687.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",57,"3"
"SI","2011-09-25","88.7","null","null","Scott Downs",435559,275933,"null","ball",,,,,"14","null","R","R","L","LAA","OAK","B","null","null",1,0,2011,"1.3743916666666667","0.42360000000000000000","1.2240","1.9920","null","502003.00","455687.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",57,"2"
"SI","2011-09-25","89.1","null","null","Scott Downs",435559,275933,"null","ball",,,,,"14","null","R","R","L","LAA","OAK","B","null","null",0,0,2011,"1.3312500000000000","0.73463333333333333333","0.9890","1.2610","null","502003.00","455687.00",1,8,"Top","null","null",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",57,"1"
"SI","2011-09-25","89.7","null","null","Scott Downs",455687,275933,"single","hit_into_play_no_out",,,,,"8","Jai Miller singles on a line drive to center fielder Peter Bourjos.    Scott Sizemore to 2nd.","R","R","L","LAA","OAK","X","null","line_drive",2,2,2011,"1.1586833333333333","0.78910000000000000000","0.1550","1.9760","null","null","502003.00",1,8,"Top","120.48","93.37",,,"null",,"null",,,,,,,"3.3800","1.5000","null","null","null","null","null","null",289275,"null","null","null","null","null","null","null","null","null","null","null","null","0.90",1,1,0,"null",56,"5"
